Sample,Wells,Raw,Conc.,"Conc.
(Average)",Time,Treatment,outside.range
2340,A10,0.201,1.28,1.28,13,AL,no
2340,A11,0.128,0.7869,0.7869,1,AL,no
4088,A12,0.31,2.012,2.012,,,no
7843,B10,0.048,0.239,0.239,13,AL,no
4086,B11,0.137,0.8479,0.8479,,,no
4110,B12,0.031,0.1199,0.1199,,,no
146,C1,0.053,0.2737,0.2737,13,AL,no
2333,C2,0.074,0.4186,0.4186,13,eTRF,no
2335,C3,0.247,1.589,1.589,13,AL,no
2337,C4,0.142,0.8817,0.8817,13,AL,no
7838,C5,0.602,3.969,3.969,13,eTRF,no
2323,C6,0.082,0.4735,0.4735,13,AL,no
7833,C7,0.16,1.003,1.003,1,eTRF,no
7864,C8,0.079,0.4529,0.4529,1,eTRF,no
2321,C9,0.125,0.7665,0.7665,1,eTRF,no
4089,C10,0.204,1.3,1.3,,,no
2323,C11,0.116,0.7054,0.7054,1,AL,no
2321,C12,0.088,0.5145,0.5145,13,eTRF,no
123,D1,0.131,0.8072,0.8072,1,AL,no
7864,D2,0.455,2.983,2.983,13,eTRF,no
7830,D3,0.133,0.8208,0.8208,1,AL,no
2333,D4,0.095,0.5624,0.5624,1,eTRF,no
7822,D5,0.041,0.1902,0.1902,1,eTRF,no
124,D6,0.124,0.7597,0.7597,13,eTRF,no
7843,D7,0.097,0.576,0.576,1,AL,no
118,D8,0.161,1.01,1.01,1,eTRF,no
2334,D9,0.126,0.7733,0.7733,1,eTRF,no
2337,D10,0.072,0.4049,0.4049,1,AL,no
7838,D11,0.187,1.186,1.186,13,eTRF,no
7833,D12,0.395,2.581,2.581,13,eTRF,no
7826,E1,0.216,1.381,1.381,1,eTRF,no
7841,E2,0.082,0.4735,0.4735,1,eTRF,no
7841,E3,0.126,0.7733,0.7733,13,eTRF,no
118,E4,0.048,0.239,0.239,13,eTRF,no
7827,E5,0.334,2.173,2.173,13,AL,no
7862,E6,0.176,1.111,1.111,13,eTRF,no
2334,E7,0.087,0.5077,0.5077,13,eTRF,no
4090,E8,0.059,0.3153,0.3153,,,no
4091,E9,0.149,0.9291,0.9291,,,no
4097,E10,0.241,1.549,1.549,,,no
4102,E11,0.041,0.1902,0.1902,,,no
4111,E12,0.048,0.239,0.239,,,no
7829,F1,0.208,1.327,1.327,1,AL,no
123,F2,0.093,0.5487,0.5487,13,AL,no
7863,F3,0.14,0.8682,0.8682,1,AL,no
7863,F4,0.111,0.6714,0.6714,1,AL,no
7862,F5,0.215,1.374,1.374,1,eTRF,no
7838,F6,0.048,0.239,0.239,1,eTRF,no
128,F7,0.129,0.7937,0.7937,1,AL,no
4093,F8,0.079,0.4529,0.4529,,,no
4117,F9,0.131,0.8072,0.8072,,,no
4116,F10,0.091,0.5351,0.5351,,,no
4115,F11,0.162,1.017,1.017,,,no
4113,F12,0.035,0.1481,0.1481,,,no
7826,G1,0.41,2.682,2.682,1,eTRF,no
7822,G2,0.242,1.556,1.556,13,eTRF,no
2324,G3,0.132,0.814,0.814,1,eTRF,no
146,G4,0.249,1.603,1.603,1,AL,no
134,G5,0.044,0.2111,0.2111,13,eTRF,no
7827,G6,0.083,0.4803,0.4803,1,AL,no
119,G7,0.104,0.6238,0.6238,1,eTRF,no
4087,G8,0.151,0.9426,0.9426,,,no
4112,G9,0.047,0.232,0.232,,,no
4095,G10,0.156,0.9764,0.9764,,,no
4106,G11,0.349,2.273,2.273,,,no
4103,G12,2.34,16.11,16.11,,,yes
2324,H1,0.094,0.5556,0.5556,13,eTRF,no
7835,H2,0.118,0.719,0.719,1,eTRF,no
124,H3,0.111,0.6714,0.6714,1,eTRF,no
7834,H4,0.065,0.3567,0.3567,1,AL,no
134,H5,0.063,0.3429,0.3429,1,eTRF,no
7829,H6,0.103,0.6169,0.6169,13,AL,no
4098,H7,0.045,0.2181,0.2181,,,no
4114,H8,0.092,0.5419,0.5419,,,no
4104,H9,1.81,12.29,12.29,,,no
4109,H10,0,< Curve,-,,,yes
4100,H11,0,< Curve,-,,,yes
blamk,H12,0,< Curve,-,,,yes
