ID,cohort,treatment,pregnancy,body.weight,date,postnatal(Y/N),gest.age,week
118,2,eTRF,1,23.8,2020-09-08,Y,27,6
118,2,eTRF,1,21.7,2020-07-14,N,-29,2
118,2,eTRF,1,26.9,2020-08-26,N,14,5
118,2,eTRF,1,20.1,2020-08-05,N,-7,2
118,2,eTRF,1,21.1,2020-07-21,N,-22,1
118,2,eTRF,1,25.4,2020-08-31,Y,19,NA
118,2,eTRF,1,20.9,2020-08-12,N,0,3
118,2,eTRF,1,20.7,2020-07-28,N,-15,1
118,2,eTRF,1,21.9,2020-08-19,N,7,4
118,2,eTRF,1,21.4,2020-07-08,N,-35,3
118,2,eTRF,1,24.5,2020-09-02,Y,21,5
119,2,eTRF,1,28.9,2020-09-21,Y,42,7.85
119,2,eTRF,1,20.9,2020-07-08,N,-32,3
119,2,eTRF,1,20.2,2020-08-05,N,-4,2
119,2,eTRF,1,28.1,2020-08-26,N,17,5
119,2,eTRF,1,22.4,2020-08-19,N,10,4
119,2,eTRF,1,27,2020-09-08,Y,30,6
119,2,eTRF,1,21.1,2020-07-21,N,-19,1
119,2,eTRF,1,30.8,2020-08-31,Y,22,NA
119,2,eTRF,1,20.8,2020-07-28,N,-12,1
119,2,eTRF,1,20.7,2020-07-14,N,-26,2
119,2,eTRF,1,25.9,2020-09-02,Y,24,5
119,2,eTRF,1,25.8,2020-09-16,Y,38,7.14
119,2,eTRF,1,20.7,2020-08-12,N,3,3
123,2,AL,1,24.9,2020-08-19,N,8,4
123,2,AL,1,21.4,2020-08-05,N,-6,2
123,2,AL,1,33.8,2020-08-26,N,15,5
123,2,AL,1,29,2020-09-02,Y,22,5
123,2,AL,1,21.2,2020-07-14,N,-28,2
123,2,AL,1,22.7,2020-08-12,N,1,3
123,2,AL,1,21.2,2020-07-28,N,-14,1
123,2,AL,1,20.4,2020-07-21,N,-21,1
123,2,AL,1,28.9,2020-09-20,Y,40,7.71
123,2,AL,1,31.7,2020-09-16,Y,36,7.14
123,2,AL,1,21.5,2020-07-08,N,-34,3
123,2,AL,1,25.3,2020-08-30,Y,19,NA
123,2,AL,1,30,2020-09-08,Y,28,6
124,2,eTRF,1,20.2,2020-07-14,N,-23,2
124,2,eTRF,1,20.4,2020-08-05,N,-1,2
124,2,eTRF,1,20,2020-07-21,N,-16,1
124,2,eTRF,1,25.4,2020-08-25,Y,19,4.86
124,2,eTRF,1,25.4,2020-08-25,Y,19,4.86
124,2,eTRF,1,29.9,2020-09-15,Y,40,7
124,2,eTRF,1,30.9,2020-09-08,Y,33,6
124,2,eTRF,1,20.9,2020-07-28,N,-9,1
124,2,eTRF,1,21.7,2020-08-12,N,6,3
124,2,eTRF,1,25.2,2020-08-26,Y,20,5
124,2,eTRF,1,20.9,2020-07-08,N,-29,3
124,2,eTRF,1,26.3,2020-08-19,N,13,4
124,2,eTRF,1,28.6,2020-09-02,Y,27,5
128,2,AL,1,31.7,2020-09-08,Y,30,6
128,2,AL,1,27.6,2020-09-18,Y,40,7.43
128,2,AL,1,29.4,2020-09-02,Y,24,5
128,2,AL,1,22.1,2020-07-21,N,-19,1
128,2,AL,1,25.6,2020-08-12,N,3,3
128,2,AL,1,22.7,2020-08-05,N,-4,2
128,2,AL,1,21.2,2020-07-14,N,-26,2
128,2,AL,1,29.4,2020-08-19,N,10,4
128,2,AL,1,25.6,2020-08-28,Y,19,NA
128,2,AL,1,20.9,2020-07-08,N,-32,3
128,2,AL,1,21.5,2020-07-28,N,-12,1
128,2,AL,1,39.5,2020-08-26,N,17,5
128,2,AL,1,30.6,2020-09-16,Y,38,7.14
143,2,AL,1,22.8,2020-08-05,N,-5,2
143,2,AL,1,38.5,2020-08-26,N,16,5
143,2,AL,1,34.1,2020-09-08,Y,29,6
143,2,AL,1,30.5,2020-09-02,Y,23,5
143,2,AL,1,26.9,2020-08-28,Y,18,NA
143,2,AL,1,32.9,2020-09-16,Y,37,7.14
143,2,AL,1,23.2,2020-07-21,N,-20,1
143,2,AL,1,22.7,2020-07-14,N,-27,2
143,2,AL,1,27.9,2020-08-19,N,9,4
143,2,AL,1,32.7,2020-09-18,Y,39,7.43
143,2,AL,1,22.4,2020-07-28,N,-13,1
143,2,AL,1,25.2,2020-08-12,N,2,3
143,2,AL,1,23.5,2020-07-08,N,-33,3
146,2,AL,1,23.2,2020-08-12,N,5,3
146,2,AL,1,34.4,2020-09-08,Y,32,6
146,2,AL,1,21.2,2020-07-08,N,-30,3
146,2,AL,1,26.7,2020-08-26,Y,19,5
146,2,AL,1,26.7,2020-08-26,Y,19,5
146,2,AL,1,21.3,2020-07-14,N,-24,2
146,2,AL,1,29.4,2020-09-02,Y,26,5
146,2,AL,1,21.2,2020-07-21,N,-17,1
146,2,AL,1,20.5,2020-08-05,N,-2,2
146,2,AL,1,28.4,2020-08-19,N,12,4
146,2,AL,1,28.1,2020-09-16,Y,40,7.14
146,2,AL,1,20.7,2020-07-28,N,-10,1
2321,3,eTRF,1,27.6,2022-08-18,Y,22,6.86
2321,3,eTRF,1,36.8,2022-08-12,N,16,6
2321,3,eTRF,1,34.3,2022-08-10,N,14,5.71
2321,3,eTRF,1,28.2,2022-08-15,Y,19,6.43
2321,3,eTRF,1,23.7,2022-06-28,N,-29,1
2321,3,eTRF,1,23.9,2022-07-14,N,-13,2
2321,3,eTRF,1,28.2,2022-08-15,Y,19,6.43
2321,3,eTRF,1,24.8,2022-07-29,N,2,4
2321,3,eTRF,1,29.7,2022-08-29,Y,33,8.43
2321,3,eTRF,1,29.7,2022-09-05,Y,41,NA
2321,3,eTRF,1,27.1,2022-08-04,N,8,5
2321,3,eTRF,1,28.5,2022-08-18,Y,22,6.86
2321,3,eTRF,1,28.4,2022-08-22,Y,26,7.43
2321,3,eTRF,1,22.6,2022-07-22,N,-5,3
2322,3,eTRF,1,31.1,2022-08-20,Y,19,7.14
2322,3,eTRF,1,32.9,2022-08-15,N,14,6.43
2322,3,eTRF,1,21.6,2022-06-28,N,-34,1
2322,3,eTRF,1,31.5,2022-08-23,Y,22,7.57
2322,3,eTRF,1,26.9,2022-08-10,N,9,5.71
2322,3,eTRF,1,30.3,2022-08-27,Y,26,8.14
2322,3,eTRF,1,38.5,2022-08-18,N,17,6.86
2322,3,eTRF,1,22,2022-07-14,N,-18,2
2322,3,eTRF,1,29.2,2022-08-12,N,11,6
2322,3,eTRF,1,30,2022-09-10,Y,40,NA
2322,3,eTRF,1,42.1,2022-08-21,Y,20,7.29
2322,3,eTRF,1,25.6,2022-08-04,N,3,5
2322,3,eTRF,1,24.9,2022-07-29,N,-3,4
2322,3,eTRF,1,32.9,2022-09-03,Y,33,NA
2322,3,eTRF,1,23.3,2022-07-22,N,-10,3
2323,3,AL,1,30.1,2022-09-05,Y,39,NA
2323,3,AL,1,25.7,2022-08-04,N,7,5
2323,3,AL,1,22.3,2022-06-28,N,-30,1
2323,3,AL,1,31.2,2022-08-10,N,13,5.71
2323,3,AL,1,22.9,2022-07-22,N,-6,3
2323,3,AL,1,21.5,2022-07-14,N,-14,2
2323,3,AL,1,33.2,2022-08-29,Y,32,8.43
2323,3,AL,1,39.4,2022-08-14,N,18,6.29
2323,3,AL,1,23.6,2022-07-29,N,1,4
2323,3,AL,1,29.2,2022-08-23,Y,26,7.57
2323,3,AL,1,27.3,2022-08-16,Y,19,6.57
2323,3,AL,1,35.2,2022-08-12,N,15,6
2323,3,AL,1,27.3,2022-08-15,Y,19,6.43
2323,3,AL,1,29.7,2022-08-18,Y,21,6.86
2324,3,eTRF,1,29.6,2022-08-29,Y,28,8.43
2324,3,eTRF,1,28.5,2022-08-22,Y,21,7.43
2324,3,eTRF,1,21.6,2022-06-28,N,-30,1
2324,3,eTRF,1,39.2,2022-08-21,N,20,7.29
2324,3,eTRF,1,25.1,2022-08-04,N,3,5
2324,3,eTRF,1,30.8,2022-08-25,Y,24,7.86
2324,3,eTRF,1,27.1,2022-08-12,N,11,6
2324,3,eTRF,1,25.8,2022-08-10,N,9,5.71
2324,3,eTRF,1,30.2,2022-09-12,Y,42,NA
2324,3,eTRF,1,21.9,2022-07-14,N,-18,2
2324,3,eTRF,1,31.1,2022-09-05,Y,35,NA
2324,3,eTRF,1,31.4,2022-08-15,N,14,6.43
2324,3,eTRF,1,23.3,2022-07-22,N,-10,3
2324,3,eTRF,1,35.5,2022-08-18,N,17,6.86
2324,3,eTRF,1,24.5,2022-07-29,N,-3,4
2333,3,eTRF,1,28.7,2022-08-04,N,9,5
2333,3,eTRF,1,30.3,2022-08-21,Y,26,7.29
2333,3,eTRF,1,31.4,2022-09-04,Y,40,NA
2333,3,eTRF,1,30,2022-08-18,Y,23,6.86
2333,3,eTRF,1,30,2022-08-14,Y,19,6.29
2333,3,eTRF,1,30,2022-08-15,Y,20,6.43
2333,3,eTRF,1,31.8,2022-08-28,Y,33,8.29
2333,3,eTRF,1,24.6,2022-07-22,N,-4,3
2333,3,eTRF,1,33.4,2022-08-10,N,15,5.71
2333,3,eTRF,1,27,2022-07-29,N,3,4
2333,3,eTRF,1,22.7,2022-06-28,N,-28,1
2333,3,eTRF,1,36.2,2022-08-12,N,17,6
2333,3,eTRF,1,30.6,2022-08-17,Y,22,6.71
2333,3,eTRF,1,22.7,2022-07-14,N,-12,2
2334,3,eTRF,1,28.9,2022-08-24,Y,24,7.71
2334,3,eTRF,1,32.9,2022-08-18,N,NA,6.86
2334,3,eTRF,1,25.6,2022-08-12,N,NA,6
2334,3,eTRF,1,19.4,2022-07-14,N,NA,2
2334,3,eTRF,1,28.5,2022-08-22,Y,22,7.43
2334,3,eTRF,1,37.4,2022-08-21,N,21,7.29
2334,3,eTRF,1,29.4,2022-09-04,Y,35,NA
2334,3,eTRF,1,24,2022-08-10,N,NA,5.71
2334,3,eTRF,1,22.5,2022-07-29,N,NA,4
2334,3,eTRF,1,28.1,2022-08-28,Y,28,8.29
2334,3,eTRF,1,28.8,2022-08-15,N,NA,6.43
