ID,treatment,pregnancy,cohort,time,glucose,dose.weight
118,eTRF,1,2,75,132,26.9
118,eTRF,1,2,120,173,26.9
118,eTRF,1,2,105,135,26.9
118,eTRF,1,2,45,108,26.9
118,eTRF,1,2,0,128,26.9
118,eTRF,1,2,15,106,26.9
118,eTRF,1,2,30,110,26.9
118,eTRF,1,2,60,112,26.9
118,eTRF,1,2,90,134,26.9
119,eTRF,1,2,45,131,22.4
119,eTRF,1,2,60,137,22.4
119,eTRF,1,2,75,150,22.4
119,eTRF,1,2,90,139,22.4
119,eTRF,1,2,105,154,22.4
119,eTRF,1,2,120,152,22.4
119,eTRF,1,2,0,154,22.4
119,eTRF,1,2,15,134,22.4
119,eTRF,1,2,30,146,22.4
123,AL,1,2,45,110,33.8
123,AL,1,2,60,94,33.8
123,AL,1,2,30,111,33.8
123,AL,1,2,105,107,33.8
123,AL,1,2,120,107,33.8
123,AL,1,2,75,101,33.8
123,AL,1,2,90,102,33.8
123,AL,1,2,0,106,33.8
123,AL,1,2,15,96,33.8
124,eTRF,1,2,0,141,26.3
124,eTRF,1,2,45,117,26.3
124,eTRF,1,2,60,127,26.3
124,eTRF,1,2,30,120,26.3
124,eTRF,1,2,75,156,26.3
124,eTRF,1,2,15,112,26.3
124,eTRF,1,2,90,168,26.3
124,eTRF,1,2,120,203,26.3
124,eTRF,1,2,105,166,26.3
128,AL,1,2,90,104,29.4
128,AL,1,2,105,94,29.4
128,AL,1,2,0,121,29.4
128,AL,1,2,15,97,29.4
128,AL,1,2,75,79,29.4
128,AL,1,2,60,78,29.4
128,AL,1,2,120,104,29.4
128,AL,1,2,45,74,29.4
128,AL,1,2,30,74,29.4
143,AL,1,2,0,106,27.9
143,AL,1,2,15,112,27.9
143,AL,1,2,30,87,27.9
143,AL,1,2,45,85,27.9
143,AL,1,2,60,76,27.9
143,AL,1,2,75,83,27.9
143,AL,1,2,90,79,27.9
143,AL,1,2,105,77,27.9
143,AL,1,2,120,91,27.9
146,AL,1,2,0,82,28.4
146,AL,1,2,45,89,28.4
146,AL,1,2,60,90,28.4
146,AL,1,2,15,102,28.4
146,AL,1,2,30,97,28.4
146,AL,1,2,90,86,28.4
146,AL,1,2,105,92,28.4
146,AL,1,2,120,96,28.4
146,AL,1,2,75,81,28.4
2321,eTRF,1,3,60,158,34.3
2321,eTRF,1,3,75,160,34.3
2321,eTRF,1,3,90,166,34.3
2321,eTRF,1,3,105,160,34.3
2321,eTRF,1,3,120,166,34.3
2321,eTRF,1,3,45,149,34.3
2321,eTRF,1,3,0,156,34.3
2321,eTRF,1,3,15,130,34.3
2321,eTRF,1,3,30,155,34.3
2322,eTRF,1,3,45,97,30.2
2322,eTRF,1,3,0,166,30.2
2322,eTRF,1,3,15,132,30.2
2322,eTRF,1,3,30,104,30.2
2322,eTRF,1,3,75,134,30.2
2322,eTRF,1,3,120,177,30.2
2322,eTRF,1,3,105,165,30.2
2322,eTRF,1,3,60,124,30.2
2322,eTRF,1,3,90,160,30.2
2323,AL,1,3,0,107,36.3
2323,AL,1,3,15,94,36.3
2323,AL,1,3,30,108,36.3
2323,AL,1,3,45,107,36.3
2323,AL,1,3,60,98,36.3
2323,AL,1,3,75,99,36.3
2323,AL,1,3,90,87,36.3
2323,AL,1,3,105,94,36.3
2323,AL,1,3,120,87,36.3
2324,eTRF,1,3,90,123,30.7
2324,eTRF,1,3,60,94,30.7
2324,eTRF,1,3,105,115,30.7
2324,eTRF,1,3,120,137,30.7
2324,eTRF,1,3,75,117,30.7
2324,eTRF,1,3,30,94,30.7
2324,eTRF,1,3,45,85,30.7
2324,eTRF,1,3,0,171,30.7
2324,eTRF,1,3,15,102,30.7
2333,eTRF,1,3,75,134,33
2333,eTRF,1,3,90,142,33
2333,eTRF,1,3,105,169,33
2333,eTRF,1,3,60,125,33
2333,eTRF,1,3,0,148,33
2333,eTRF,1,3,15,121,33
2333,eTRF,1,3,30,92,33
2333,eTRF,1,3,45,108,33
2333,eTRF,1,3,120,138,33
2334,eTRF,1,3,15,117,28.5
2334,eTRF,1,3,30,185,28.5
2334,eTRF,1,3,45,97,28.5
2334,eTRF,1,3,0,175,28.5
2334,eTRF,1,3,60,91,28.5
2334,eTRF,1,3,75,120,28.5
2334,eTRF,1,3,90,125,28.5
2334,eTRF,1,3,105,133,28.5
2334,eTRF,1,3,120,145,28.5
2335,AL,1,3,0,127,37.7
2335,AL,1,3,15,104,37.7
2335,AL,1,3,30,85,37.7
2335,AL,1,3,120,82,37.7
2335,AL,1,3,45,80,37.7
2335,AL,1,3,60,76,37.7
2335,AL,1,3,75,79,37.7
2335,AL,1,3,90,83,37.7
2335,AL,1,3,105,77,37.7
2337,AL,1,3,0,126,30
2337,AL,1,3,45,117,30
2337,AL,1,3,60,128,30
2337,AL,1,3,15,155,30
2337,AL,1,3,30,138,30
2337,AL,1,3,75,128,30
2337,AL,1,3,90,117,30
2337,AL,1,3,105,132,30
2337,AL,1,3,120,103,30
2340,AL,1,3,15,103,26.7
2340,AL,1,3,30,101,26.7
2340,AL,1,3,45,107,26.7
2340,AL,1,3,60,83,26.7
2340,AL,1,3,75,75,26.7
2340,AL,1,3,90,81,26.7
2340,AL,1,3,105,82,26.7
2340,AL,1,3,120,95,26.7
2340,AL,1,3,0,128,26.7
7826,eTRF,1,1,90,177,30.2
7826,eTRF,1,1,60,139,30.2
7826,eTRF,1,1,105,175,30.2
7826,eTRF,1,1,120,176,30.2
7826,eTRF,1,1,45,132,30.2
7826,eTRF,1,1,75,158,30.2
7826,eTRF,1,1,0,166,30.2
7826,eTRF,1,1,15,134,30.2
7826,eTRF,1,1,30,125,30.2
7827,AL,1,1,60,125,28.8
7827,AL,1,1,0,183,28.8
7827,AL,1,1,90,125,28.8
7827,AL,1,1,105,137,28.8
7827,AL,1,1,120,129,28.8
7827,AL,1,1,75,127,28.8
7827,AL,1,1,15,143,28.8
7827,AL,1,1,30,126,28.8
7827,AL,1,1,45,132,28.8
7829,AL,1,1,15,214,26.2
7829,AL,1,1,75,202,26.2
7829,AL,1,1,90,183,26.2
7829,AL,1,1,0,239,26.2
7829,AL,1,1,120,181,26.2
7829,AL,1,1,60,185,26.2
7829,AL,1,1,105,186,26.2
7829,AL,1,1,45,169,26.2
