ID,treatment,pregnancy,cohort,gave.birth,date,estrus.stage,estrous.num
118,eTRF,1,2,yes,2020-08-03,P,2
118,eTRF,1,2,yes,2020-07-30,E,3
118,eTRF,1,2,yes,2020-08-08,M,1
118,eTRF,1,2,yes,2020-07-26,E,3
118,eTRF,1,2,yes,2020-07-23,D,1
118,eTRF,1,2,yes,2020-07-19,P,2
118,eTRF,1,2,yes,2020-07-28,D,1
118,eTRF,1,2,yes,2020-08-05,P,2
118,eTRF,1,2,yes,2020-08-02,D,1
118,eTRF,1,2,yes,2020-07-22,M,1
118,eTRF,1,2,yes,2020-07-24,D,1
118,eTRF,1,2,yes,2020-07-25,P,2
118,eTRF,1,2,yes,2020-07-02,E,3
118,eTRF,1,2,yes,2020-07-31,E,3
118,eTRF,1,2,yes,2020-07-08,E,3
118,eTRF,1,2,yes,2020-08-04,D,1
118,eTRF,1,2,yes,2020-07-29,P,2
118,eTRF,1,2,yes,2020-08-01,E,3
118,eTRF,1,2,yes,2020-06-30,P,2
118,eTRF,1,2,yes,2020-07-21,E,3
118,eTRF,1,2,yes,2020-07-07,D,1
118,eTRF,1,2,yes,2020-07-27,D,1
118,eTRF,1,2,yes,2020-07-01,E,3
118,eTRF,1,2,yes,2020-07-04,D,1
118,eTRF,1,2,yes,2020-08-09,M,1
118,eTRF,1,2,yes,2020-07-05,E,3
118,eTRF,1,2,yes,2020-08-06,M,1
118,eTRF,1,2,yes,2020-07-06,D,1
118,eTRF,1,2,yes,2020-07-14,E,3
118,eTRF,1,2,yes,2020-07-17,D,1
118,eTRF,1,2,yes,2020-07-03,E,3
118,eTRF,1,2,yes,2020-08-07,M,1
118,eTRF,1,2,yes,2020-07-15,E,3
118,eTRF,1,2,yes,2020-07-18,P,2
118,eTRF,1,2,yes,2020-08-10,M,1
118,eTRF,1,2,yes,2020-07-16,M,1
118,eTRF,1,2,yes,2020-07-20,P,2
119,eTRF,1,2,yes,2020-07-07,P,2
119,eTRF,1,2,yes,2020-07-16,P,2
