Sample,well,Raw,"Background
Corrected",Conc.,volume
Control,A2,0.563,0.541,289.8,50
985A,B2,0.025,0.003,7.149,5
985P,C2,0.025,0.003,7.149,5
1210A,D2,0.023,0.001,6.63,5
1210P,E2,0.028,0.006,7.946,5
995A,F2,0.024,0.002,6.888,5
995P,G2,0.024,0.002,6.888,5
1213A,H2,0.083,0.061,25.59,5
1213P,A3,0.079,0.057,24.15,5
996P,B3,0.024,0.002,6.888,5
1831A,C3,0.168,0.146,60.6,5
1831P,D3,0.247,0.225,98.96,5
1833A,E3,0.101,0.079,32.35,5
1833P,F3,0.079,0.057,24.15,5
2086A,G3,0.166,0.144,59.7,5
2086P,H3,0.116,0.094,38.27,5
2210A,A4,0.115,0.093,37.87,5
118A,B4,0.074,0.052,22.38,5
118P,C4,0.082,0.06,25.23,5
119A,D4,0.083,0.061,25.59,5
124A,E4,0.085,0.063,26.32,5
124P,F4,0.071,0.049,21.33,5
123A,G4,0.088,0.066,27.43,5
123P,H4,0.056,0.034,16.29,5
128A,A5,0.089,0.067,27.8,5
140A,B5,0.071,0.049,21.33,5
140P,C5,0.143,0.121,49.54,5
134A,D5,0.104,0.082,33.51,5
134P,E5,0.059,0.037,17.27,5
121A,F5,0.037,0.015,10.46,5
121P,G5,0.048,0.026,13.76,5
120A,H5,0.052,0.03,15.01,5
120P,A6,0.031,0.009,8.765,5
125A,B6,0.053,0.031,15.33,5
125P,C6,0.035,0.013,9.887,5
144A,D6,0.062,0.04,18.27,5
144P,E6,0.039,0.017,11.04,5
127A,F6,0.06,0.038,17.6,5
127P,G6,0.048,0.026,13.76,5
131A,H6,0.089,0.067,27.8,5
130A,A7,0.061,0.039,17.93,5
130P,B7,0.04,0.018,11.34,5
145A,C7,0.081,0.059,24.87,5
145P,D7,0.034,0.012,9.603,5
7822A,E7,0.047,0.025,13.45,5
7822P,F7,0.052,0.03,15.01,5
7842A,G7,0.043,0.021,12.23,5
7828P,H7,0.043,0.021,12.23,5
7841A,A8,0.044,0.022,12.53,5
7841P,B8,0.057,0.035,16.62,5
7837A,C8,0.046,0.024,13.14,5
7832A,D8,0.048,0.026,13.76,5
7832P,E8,0.039,0.017,11.04,5
7834A,F8,0.049,0.027,14.07,5
7835A,G8,0.027,0.005,7.678,5
7842P,H8,0.04,0.018,11.34,5
7840P,A9,0.044,0.022,12.53,5
7827P,B9,0.035,0.013,9.887,5
7828P,C9,0.034,0.012,9.603,2.5
7839A,D9,0.052,0.03,15.01,5
7839P,E9,0.047,0.025,13.45,5
7840A,F9,0.04,0.018,11.34,5
7864P,G9,0.028,0.006,7.946,5
7826P,H9,0.035,0.013,9.887,5
7864A,A10,0.026,0.004,7.413,5
Blank,H1,0.022,0,6.374,50
