ID,well,study,time,pregnancy,trimester,diet,sex,week,genotype,dex,raw,conc.
7863,A1,IR,13,yes,3,NCD,female,NA,WT,no,0.193,140.9
7864,A10,IR,13,no,3,NCD,female,NA,WT,no,0.136,46.61
7835,A11,IR,13,no,3,NCD,female,NA,WT,no,0.119,24.48
7829,A12,IR,13,no,3,NCD,female,NA,WT,no,0.129,37.06
7862,A2,IR,13,yes,3,NCD,female,NA,WT,no,0.193,140.9
7834,A3,IR,13,yes,3,NCD,female,NA,WT,no,0.201,156
7822,A4,IR,13,yes,3,NCD,female,NA,WT,no,0.218,189.3
7842,A5,IR,13,yes,3,NCD,female,NA,WT,no,0.183,122.5
7829,A6,IR,1,no,3,NCD,female,NA,WT,no,0.123,29.35
7827,A7,IR,13,no,3,NCD,female,NA,WT,no,0.116,20.98
7841,A8,IR,13,yes,3,NCD,female,NA,WT,no,0.161,84.72
7843,A9,IR,13,yes,3,NCD,female,NA,WT,no,0.157,78.25
7832,B1,IR,13,yes,3,NCD,female,NA,WT,yes,0.149,65.71
7838,B10,IR,1,yes,3,NCD,female,NA,WT,no,0.187,129.8
7841,B11,IR,1,yes,3,NCD,female,NA,WT,no,0.238,230.6
7864,B12,IR,1,no,3,NCD,female,NA,WT,no,0.129,37.06
7839,B2,IR,13,yes,3,NCD,female,NA,WT,yes,0.187,129.8
7837,B3,IR,13,yes,3,NCD,female,NA,WT,yes,0.191,137.1
7840,B4,IR,13,yes,3,NCD,female,NA,WT,yes,0.153,71.91
7828,B5,IR,13,yes,3,NCD,female,NA,WT,yes,0.168,96.37
7828,B6,IR,1,yes,3,NCD,female,NA,WT,yes,0.183,122.5
7826,B7,IR,1,no,3,NCD,female,NA,WT,no,0.142,55.21
7838,B8,IR,13,yes,3,NCD,female,NA,WT,no,0.166,93
7830,B9,IR,1,no,3,NCD,female,NA,WT,no,0.093,0.5763
7833,C1,IR,1,no,3,NCD,female,NA,WT,no,0.157,78.25
7827,C10,TRF,1,yes,3,AL,female,NA,WT,no,0.216,185.3
7864,C11,TRF,1,yes,3,eTRF,female,NA,WT,no,0.312,399.5
7829,C12,TRF,1,yes,3,AL,female,NA,WT,no,0.187,129.8
7822,C2,IR,1,yes,3,NCD,female,NA,WT,no,0.221,195.4
7839,C3,IR,1,yes,3,NCD,female,NA,WT,yes,0.19,135.3
7840,C4,IR,1,yes,3,NCD,female,NA,WT,yes,0.196,146.5
7832,C5,IR,1,yes,3,NCD,female,NA,WT,yes,0.169,98.06
7842,C6,IR,1,yes,3,NCD,female,NA,WT,yes,0.16,83.09
7827,C7,IR,1,no,3,NCD,female,NA,WT,no,0.168,96.37
7834,C8,TRF,1,yes,1,AL,female,NA,WT,no,0.158,79.85
7843,C9,TRF,1,yes,2,AL,female,NA,WT,no,0.168,96.37
7826,D1,TRF,1,yes,3,eTRF,female,NA,WT,no,0.218,189.3
7812,D10,TRF,1,no,NA,AL,male,NA,WT,no,0.217,187.3
7863,D11,TRF,1,yes,1,AL,female,NA,WT,no,0.195,144.6
7838,D12,TRF,1,yes,1,eTRF,female,NA,WT,no,0.213,179.3
7835,D2,TRF,1,yes,2,eTRF,female,NA,WT,no,0.239,232.7
7830,D3,TRF,1,yes,3,AL,female,NA,WT,no,0.212,177.4
7814,D4,TRF,1,no,NA,eTRF,male,NA,WT,no,0.218,189.3
7813,D5,TRF,1,no,NA,eTRF,male,NA,WT,no,0.206,165.6
7809,D6,TRF,1,no,NA,eTRF,male,NA,WT,no,0.199,152.2
7865,D7,TRF,1,no,NA,AL,male,NA,WT,no,0.209,171.5
7816,D8,TRF,1,no,NA,eTRF,male,NA,WT,no,0.225,203.5
7820,D9,TRF,1,no,NA,AL,male,NA,WT,no,0.23,213.8
7841,E1,TRF,1,yes,1,eTRF,female,NA,WT,no,0.205,163.7
7826,E10,TRF,13,yes,3,eTRF,female,NA,WT,no,0.174,106.6
7835,E11,TRF,13,yes,2,eTRF,female,NA,WT,no,0.177,111.9
7830,E12,TRF,13,yes,3,eTRF,female,NA,WT,no,0.175,108.4
7833,E2,TRF,1,yes,3,AL,female,NA,WT,no,0.233,220.1
7822,E3,TRF,1,yes,1,eTRF,female,NA,WT,no,0.195,144.6
7862,E4,TRF,1,yes,2,eTRF,female,NA,WT,no,0.217,187.3
7834,E5,TRF,13,yes,1,AL,female,NA,WT,no,0.142,55.21
7843,E6,TRF,13,yes,2,AL,female,NA,WT,no,0.155,75.06
7827,E7,TRF,13,yes,3,AL,female,NA,WT,no,0.205,163.7
7864,E8,TRF,13,yes,3,eTRF,female,NA,WT,no,0.173,104.9
7829,E9,TRF,13,yes,3,AL,female,NA,WT,no,0.177,111.9
7814,F1,TRF,13,no,NA,eTRF,male,NA,WT,no,0.158,79.85
7841,F10,TRF,13,yes,1,eTRF,female,NA,WT,no,0.166,93
7833,F11,TRF,13,yes,3,AL,female,NA,WT,no,0.25,256.3
7822,F12,TRF,13,yes,1,eTRF,female,NA,WT,no,0.144,58.16
7813,F2,TRF,13,no,NA,eTRF,male,NA,WT,no,0.164,89.67
7809,F3,TRF,13,no,NA,eTRF,male,NA,WT,no,0.162,86.36
7865,F4,TRF,13,no,NA,AL,male,NA,WT,no,0.158,79.85
7816,F5,TRF,13,no,NA,eTRF,male,NA,WT,no,0.184,124.3
7820,F6,TRF,13,no,NA,AL,male,NA,WT,no,0.2,154.1
7812,F7,TRF,13,no,NA,AL,male,NA,WT,no,0.152,70.34
7863,F8,TRF,13,yes,1,AL,female,NA,WT,no,0.166,93
7838,F9,TRF,13,yes,1,eTRF,female,NA,WT,no,0.149,65.71
7862,G1,TRF,13,yes,2,eTRF,female,NA,WT,no,0.153,71.91
8074,G10,AJ,14,no,NA,KD,male,4,WT,no,0.181,119
8468,G11,TSC,14,no,NA,KD,male,4,KO,no,0.254,265.1
8469,G12,TSC,14,no,NA,KD,male,4,KO,no,0.233,220.1
8063,G2,AJ,14,no,NA,CD,male,4,WT,no,0.174,106.6
8064,G3,AJ,14,no,NA,CD,male,4,WT,no,0.182,120.8
8065,G4,AJ,14,no,NA,CD,male,4,WT,no,0.179,115.4
8066,G5,AJ,14,no,NA,KD,male,4,WT,no,0.17,99.76
8088,G6,AJ,14,no,NA,KD,male,4,WT,no,0.206,165.6
8069,G7,AJ,14,no,NA,KD,male,4,WT,no,0.204,161.7
