Genotype,full.conc,study,MouseID,Well,Raw,"Background
Corrected",Conc.
+/+,70.57,GDF15,1213,A3,0.126,0.059,7.057
+/+,115.6,GDF15,2210,A4,0.164,0.097,11.56
-/-,12.18,GDF15,985,B2,0.076,0.009,1.218
-/-,4.122,GDF15,996,B3,0.069,0.002,0.4122
-/-,4.122,GDF15,985,C2,0.069,0.002,0.4122
+/+,178,GDF15,1831,C3,0.216,0.149,17.8
-/-,0.6976,GDF15,1210,D2,0.066,-0.001,0.06976
+/+,273.3,GDF15,1831,D3,0.294,0.227,27.33
-/-,12.18,GDF15,1210,E2,0.076,0.009,1.218
+/+,93.03,GDF15,1833,E3,0.145,0.078,9.303
-/-,1.835,GDF15,995,F2,0.067,0,0.1835
+/+,67.04,GDF15,1833,F3,0.123,0.056,6.704
-/-,1.835,GDF15,995,G2,0.067,0,0.1835
+/+,170.8,GDF15,2086,G3,0.21,0.143,17.08
+/+,78.83,GDF15,1213,H2,0.133,0.066,7.883
+/+,112,GDF15,2086,H3,0.161,0.094,11.2
