well,MouseID,study,treatment,diet,pregnancy,time,Genotype,volume
H1,blank,,,,,,,50
A2,control,,,,,,,50
B2,985,GDF15,water,NCD,yes,1,KO,5
C2,985,GDF15,water,NCD,yes,13,KO,5
D2,1210,GDF15,water,NCD,yes,1,KO,5
E2,1210,GDF15,water,NCD,yes,13,KO,5
F2,995,GDF15,water,NCD,yes,1,KO,5
G2,995,GDF15,water,NCD,yes,13,KO,5
H2,1213,GDF15,water,NCD,yes,1,WT,5
A3,1213,GDF15,water,NCD,yes,13,WT,5
B3,996,GDF15,water,NCD,yes,13,KO,5
C3,1831,GDF15,water,NCD,yes,1,WT,5
D3,1831,GDF15,water,NCD,yes,13,WT,5
E3,1833,GDF15,water,NCD,yes,1,WT,5
F3,1833,GDF15,water,NCD,yes,13,WT,5
G3,2086,GDF15,water,NCD,yes,1,WT,5
H3,2086,GDF15,water,NCD,yes,13,WT,5
A4,2210,GDF15,water,NCD,yes,1,WT,5
B4,118,eTRF,eTRF,NCD,yes,1,,5
C4,118,eTRF,eTRF,NCD,yes,13,,5
D4,119,eTRF,eTRF,NCD,yes,1,,5
E4,124,eTRF,eTRF,NCD,yes,1,,5
F4,124,eTRF,eTRF,NCD,yes,13,,5
G4,123,eTRF,AL,NCD,yes,1,,5
H4,123,eTRF,AL,NCD,yes,13,,5
A5,128,eTRF,AL,NCD,yes,1,,5
B5,146,eTRF,AL,NCD,yes,1,,5
C5,146,eTRF,AL,NCD,yes,13,,5
D5,134,eTRF,eTRF,NCD,yes,1,,5
E5,134,eTRF,eTRF,NCD,yes,13,,5
F5,121,eTRF,eTRF,NCD,no,1,,5
G5,121,eTRF,eTRF,NCD,no,13,,5
H5,120,eTRF,AL,NCD,no,1,,5
A6,120,eTRF,AL,NCD,no,13,,5
B6,125,eTRF,eTRF,NCD,no,1,,5
C6,125,eTRF,eTRF,NCD,no,13,,5
D6,144,eTRF,AL,NCD,no,1,,5
E6,144,eTRF,AL,NCD,no,13,,5
F6,127,eTRF,AL,NCD,no,1,,5
G6,127,eTRF,AL,NCD,no,13,,5
H6,131,eTRF,eTRF,NCD,no,1,,5
A7,130,eTRF,eTRF,NCD,no,1,,5
B7,130,eTRF,eTRF,NCD,no,13,,5
C7,145,eTRF,eTRF,NCD,no,1,,5
D7,145,eTRF,eTRF,NCD,no,13,,5
E7,7822,IR,water,NCD,yes,0,,5
F7,7822,IR,water,NCD,yes,12,,5
G7,7842,IR,dex,NCD,yes,0,,5
H7,7828,IR,dex,NCD,yes,12,,5
A8,7841,IR,water,NCD,yes,0,,5
B8,7841,IR,water,NCD,yes,12,,5
C8,7837,IR,dex,NCD,yes,0,,5
D8,7832,IR,dex,NCD,yes,0,,5
E8,7832,IR,dex,NCD,yes,12,,5
F8,7834,IR,water,NCD,yes,0,,5
G8,7835,IR,water,NCD,no,0,,5
H8,7842,IR,dex,NCD,yes,12,,5
A9,7840,IR,dex,NCD,yes,12,,5
B9,7827,IR,water,NCD,no,12,,5
C9,7828,IR,dex,NCD,yes,12,,2.5
D9,7839,IR,dex,NCD,yes,0,,5
E9,7839,IR,dex,NCD,yes,12,,5
F9,7840,IR,dex,NCD,yes,0,,5
G9,7864,IR,water,NCD,no,12,,5
H9,7826,IR,water,NCD,no,12,,5
A10,7864,IR,water,NCD,no,0,,5
