MouseID,birth.weight,alive.at.birth,gest.age,sex,survival,culled,Genotype
100553,1.1,yes,21,female,,,-/-
100553,1.2,yes,21,male,,,-/-
100553,1.2,yes,21,male,,,-/-
100553,1,yes,21,male,,,-/-
100553,0.9,no,21,male,,,-/-
1210,1.11,no,21,,no,no,-/-
1210,1.1,no,21,,no,no,-/-
1210,1.37,yes,21,female,yes,no,-/-
1210,1.35,yes,21,male,yes,no,-/-
1210,1.24,yes,21,male,yes,no,-/-
1210,1.27,yes,21,male,yes,no,-/-
1213,1.32,yes,21,male,yes,no,+/+
1213,1.3,yes,21,female,yes,no,+/+
1213,1.37,yes,21,male,yes,yes,+/+
1213,1.28,yes,21,male,yes,no,+/+
1213,1.38,yes,21,male,yes,yes,+/+
1213,1.06,yes,21,,no,no,+/+
1447,1.21,yes,21,male,yes,no,-/-
1447,1.27,yes,21,male,yes,no,-/-
1447,1.2,yes,21,female,yes,yes,-/-
1447,1.24,yes,21,male,yes,yes,-/-
1447,1.14,yes,21,female,yes,yes,-/-
1447,1.17,yes,21,female,yes,yes,-/-
1447,1.24,yes,21,female,yes,yes,-/-
1447,1.15,yes,21,female,yes,no,-/-
1447,1.24,yes,21,female,yes,no,-/-
1499,1.18,yes,19,male,yes,yes,+/+
1499,1.22,yes,19,male,yes,no,+/+
1499,1.27,yes,19,male,yes,yes,+/+
1499,1.31,yes,19,male,yes,yes,+/+
1499,1.28,yes,19,male,yes,yes,+/+
1499,1.38,yes,19,male,yes,yes,+/+
1499,1.22,yes,19,male,yes,no,+/+
1499,1.18,yes,19,female,yes,no,+/+
1499,1.11,yes,19,female,yes,no,+/+
1500,1.4,yes,18,female,yes,yes,-/-
1500,1.42,yes,18,male,yes,no,-/-
1500,1.25,yes,18,female,yes,yes,-/-
1500,1.2,yes,18,female,yes,yes,-/-
1500,1.32,yes,18,male,yes,no,-/-
1500,1.27,yes,18,female,yes,no,-/-
1500,1.27,yes,18,female,yes,no,-/-
1500,1.27,no,18,,no,no,-/-
1831,1.15,yes,20,female,yes,no,+/+
1831,1.32,yes,20,male,yes,no,+/+
1831,1.22,yes,20,male,yes,no,+/+
1831,1.18,yes,20,female,yes,no,+/+
1831,1.26,yes,20,male,yes,yes,+/+
1831,1.34,yes,20,,no,no,+/+
1833,1.14,yes,19,female,yes,no,+/+
1833,1.35,yes,19,female,yes,no,+/+
1833,1.27,yes,19,male,yes,no,+/+
1833,1.16,yes,19,female,yes,no,+/+
1833,1.29,yes,19,female,yes,yes,+/+
1833,1.29,yes,19,male,yes,yes,+/+
2086,1.35,yes,19,female,yes,no,+/+
2086,1.32,yes,19,female,yes,no,+/+
2086,1.41,yes,19,,no,no,+/+
2210,1.31,yes,21,female,yes,no,+/+
2210,1.35,yes,21,female,yes,no,+/+
2210,1.31,yes,21,male,yes,no,+/+
2210,1.26,yes,21,female,yes,no,+/+
2210,1.13,yes,21,female,yes,yes,+/+
2210,1.23,yes,21,female,yes,yes,+/+
985,1.4,yes,23,male,yes,no,-/-
985,1.3,yes,23,female,yes,no,-/-
985,1.32,yes,23,female,yes,no,-/-
985,1.21,yes,23,female,yes,no,-/-
985,1.3,yes,23,female,yes,yes,-/-
985,1.29,no,23,,no,no,-/-
995,1.12,yes,20,male,yes,no,-/-
995,1.1,yes,20,female,yes,no,-/-
995,1.13,yes,20,female,yes,no,-/-
995,1.23,yes,20,female,yes,no,-/-
995,1.18,yes,20,,no,no,-/-
995,1.24,yes,20,female,yes,yes,-/-
995,1.11,no,20,,no,no,-/-
995,0.71,no,20,,no,no,-/-
995,1.09,no,20,,no,no,-/-
996,1.21,yes,18,female,yes,no,-/-
996,1.14,yes,18,male,yes,no,-/-
996,1.12,yes,18,male,yes,no,-/-
996,1.19,yes,18,female,yes,no,-/-
996,1.22,yes,18,female,yes,yes,-/-
996,1.08,yes,18,male,yes,yes,-/-
996,1.12,yes,18,male,yes,yes,-/-
996,1.33,yes,18,male,yes,yes,-/-
996,1.21,yes,18,male,yes,yes,-/-
