MouseID,time,glucose,Genotype,AUC,rel.glucose,rel.auc
1213,0,176,+/+,1392,100,790.9090909
1213,15,163,+/+,1392,92.61363636,790.9090909
1213,30,148,+/+,1392,84.09090909,790.9090909
1213,45,141,+/+,1392,80.11363636,790.9090909
1213,60,134,+/+,1392,76.13636364,790.9090909
1213,75,155,+/+,1392,88.06818182,790.9090909
1213,90,149,+/+,1392,84.65909091,790.9090909
1213,105,170,+/+,1392,96.59090909,790.9090909
1213,120,156,+/+,1392,88.63636364,790.9090909
1210,0,168,-/-,1252,100,745.2380952
1210,15,167,-/-,1252,99.4047619,745.2380952
1210,30,175,-/-,1252,104.1666667,745.2380952
1210,45,146,-/-,1252,86.9047619,745.2380952
1210,60,122,-/-,1252,72.61904762,745.2380952
1210,75,126,-/-,1252,75,745.2380952
1210,90,120,-/-,1252,71.42857143,745.2380952
1210,105,124,-/-,1252,73.80952381,745.2380952
1210,120,104,-/-,1252,61.9047619,745.2380952
985,0,121,-/-,910,100,752.0661157
985,15,99,-/-,910,81.81818182,752.0661157
985,30,108,-/-,910,89.25619835,752.0661157
985,45,109,-/-,910,90.08264463,752.0661157
985,60,103,-/-,910,85.12396694,752.0661157
985,75,83,-/-,910,68.59504132,752.0661157
985,90,96,-/-,910,79.33884298,752.0661157
985,105,109,-/-,910,90.08264463,752.0661157
985,120,82,-/-,910,67.76859504,752.0661157
995,0,179,-/-,1199,100,669.8324022
995,15,145,-/-,1199,81.00558659,669.8324022
995,30,179,-/-,1199,100,669.8324022
995,45,128,-/-,1199,71.50837989,669.8324022
995,60,126,-/-,1199,70.39106145,669.8324022
995,75,112,-/-,1199,62.5698324,669.8324022
995,90,108,-/-,1199,60.33519553,669.8324022
995,105,111,-/-,1199,62.01117318,669.8324022
995,120,111,-/-,1199,62.01117318,669.8324022
996,0,109,-/-,991,100,909.1743119
996,15,134,-/-,991,122.9357798,909.1743119
996,30,112,-/-,991,102.7522936,909.1743119
996,45,112,-/-,991,102.7522936,909.1743119
996,60,113,-/-,991,103.6697248,909.1743119
996,75,113,-/-,991,103.6697248,909.1743119
996,90,102,-/-,991,93.57798165,909.1743119
996,105,92,-/-,991,84.40366972,909.1743119
996,120,104,-/-,991,95.41284404,909.1743119
1447,0,135,-/-,889,100,658.5185185
1447,15,137,-/-,889,101.4814815,658.5185185
1447,30,94,-/-,889,69.62962963,658.5185185
1447,45,99,-/-,889,73.33333333,658.5185185
1447,60,97,-/-,889,71.85185185,658.5185185
1447,75,89,-/-,889,65.92592593,658.5185185
1447,90,79,-/-,889,58.51851852,658.5185185
1447,105,80,-/-,889,59.25925926,658.5185185
1447,120,79,-/-,889,58.51851852,658.5185185
1499,0,190,+/+,1272,100,669.4736842
1499,15,203,+/+,1272,106.8421053,669.4736842
1499,30,139,+/+,1272,73.15789474,669.4736842
1499,45,164,+/+,1272,86.31578947,669.4736842
1499,60,171,+/+,1272,90,669.4736842
1499,75,121,+/+,1272,63.68421053,669.4736842
1499,90,126,+/+,1272,66.31578947,669.4736842
1499,105,79,+/+,1272,41.57894737,669.4736842
1499,120,79,+/+,1272,41.57894737,669.4736842
1500,0,104,-/-,982,100,944.2307692
1500,15,134,-/-,982,128.8461538,944.2307692
1500,30,108,-/-,982,103.8461538,944.2307692
1500,45,112,-/-,982,107.6923077,944.2307692
1500,60,123,-/-,982,118.2692308,944.2307692
1500,75,109,-/-,982,104.8076923,944.2307692
1500,90,99,-/-,982,95.19230769,944.2307692
1500,105,102,-/-,982,98.07692308,944.2307692
1500,120,91,-/-,982,87.5,944.2307692
1831,0,163,+/+,1573,100,965.0306748
1831,15,223,+/+,1573,136.809816,965.0306748
