MouseID,cage,week,food start,food end,number in cage,experiment.date,grams.food,food.consumed,kcals.consumed,food.cumulative,Genotype,gave.birth,gest.age,postnatal
100553,1362,3,345,292.5,2,3/16/20,52.5,3.75,10.9125,35.91771429,-/-,yes,0.5,n
100553,1362,4,292.5,231.3,2,3/23/20,61.2,4.371428571,12.72085714,48.63857143,-/-,yes,7.5,n
100553,1362,5,402.9,340.5,2,3/30/20,62.4,4.457142857,12.97028571,61.60885714,-/-,yes,14.5,n
1210,GDF-M2,3,286.3,242.4,2,11/19/20,43.9,3.135714286,9.124928571,33.15321429,-/-,yes,-3.5,n
1213,GDF-M3,3,294,248.7,2,11/19/20,45.3,3.235714286,9.415928571,26.50178571,+/+,yes,-4.5,n
1210,GDF-M2,4,314.8,289,2,11/25/20,25.8,1.842857143,5.362714286,38.51592857,-/-,yes,2.5,n
1213,GDF-M3,4,305.4,279.1,2,11/25/20,26.3,1.878571429,5.466642857,31.96842857,+/+,yes,2.5,n
1210,GDF-M2,5,289,255.8,1,12/2/20,33.2,4.742857143,13.80171429,52.31764286,-/-,yes,9.5,n
1213,GDF-M3,5,279.1,250,1,12/2/20,29.1,4.157142857,12.09728571,44.06571429,+/+,yes,9.5,n
1210,GDF-M2,6,255.8,220.3,1,12/9/20,35.5,5.071428571,14.75785714,67.0755,-/-,yes,16.5,n
1213,GDF-M3,6,250,216.3,1,12/9/20,33.7,4.814285714,14.00957143,58.07528571,+/+,yes,16.5,n
1210,GDF-M2,7,335.5,275.9,1,12/16/20,59.6,8.514285714,24.77657143,91.85207143,-/-,yes,23.5,y
1213,GDF-M3,7,313.7,260.9,1,12/16/20,52.8,7.542857143,21.94971429,80.025,+/+,yes,23.5,y
1210,GDF-M2,8,275.9,203.8,1,12/23/20,72.1,10.3,29.973,121.8250714,-/-,yes,30.5,y
1213,GDF-M3,8,260.9,198.7,1,12/23/20,62.2,8.885714286,25.85742857,105.8824286,+/+,yes,30.5,y
985,GDF-M4,2,269.1,216.6,2,3/8/21,52.5,3.75,10.9125,29.78592857,-/-,yes,-3.5,n
985,GDF-M4,2,269.1,216.6,2,3/8/21,52.5,3.75,10.9125,29.78592857,-/-,yes,-1.5,n
996,GDF-M5,2,277.8,221.5,2,3/8/21,56.3,4.021428571,11.70235714,28.62192857,-/-,yes,-4.5,n
995,GDF-M6,2,253.9,197.1,2,3/8/21,56.8,4.057142857,11.80628571,30.34714286,-/-,yes,-3.5,n
985,GDF-M4,3,216.6,159.5,2,3/16/21,57.1,4.078571429,11.86864286,41.65457143,-/-,yes,5.5,n
985,GDF-M4,3,216.6,159.5,2,3/16/21,57.1,4.078571429,11.86864286,41.65457143,-/-,yes,8.5,n
996,GDF-M5,3,221.5,164.3,2,3/16/21,57.2,4.085714286,11.88942857,40.51135714,-/-,yes,4.5,n
995,GDF-M6,3,364,289.2,2,3/16/21,74.8,5.342857143,15.54771429,45.89485714,-/-,yes,5.5,n
985,GDF-M4,4,252.5,199.4,2,3/23/21,53.1,3.792857143,11.03721429,52.69178571,-/-,yes,12.5,n
985,GDF-M4,4,252.5,199.4,2,3/23/21,53.1,3.792857143,11.03721429,52.69178571,-/-,yes,15.5,n
996,GDF-M5,4,252.7,198.6,2,3/23/21,54.1,3.864285714,11.24507143,51.75642857,-/-,yes,11.5,n
995,GDF-M6,4,305.4,254.6,2,3/23/21,50.8,3.628571429,10.55914286,56.454,-/-,yes,12.5,n
985,GDF-M4,5,378.4,322.2,1,3/30/21,56.2,8.028571429,23.36314286,76.05492857,-/-,yes,22.5,y
996,GDF-M5,5,388.9,327.9,1,3/30/21,61,8.714285714,25.35857143,77.115,-/-,yes,18.5,y
995,GDF-M6,5,319,277.1,1,3/30/21,41.9,5.985714286,17.41842857,73.87242857,-/-,yes,19.5,n
985,GDF-M4,6,322.2,236.8,1,4/6/21,85.4,12.2,35.502,111.5569286,-/-,yes,29.5,y
995,GDF-M6,6,277.1,207.5,1,4/6/21,69.6,9.942857143,28.93371429,102.8061429,-/-,yes,26.5,y
996,GDF-M5,6,327.9,248,1,4/6/21,79.9,11.41428571,33.21557143,110.3305714,-/-,yes,25.5,y
985,GDF-M4,7,236.8,200.3,1,4/13/21,36.5,5.214285714,15.17357143,126.7305,-/-,yes,36.6,y
995,GDF-M6,7,207.5,176.2,1,4/13/21,31.3,4.471428571,13.01185714,115.818,-/-,yes,33.5,y
996,GDF-M5,7,248,238.7,1,4/13/21,9.3,1.328571429,3.866142857,114.1967143,-/-,yes,33.5,y
1447,GDF-M8,2,253.4,200.1,2,5/18/21,53.3,3.807142857,11.07878571,22.34464286,-/-,yes,-3.5,n
1447,GDF-M8,3,343.6,272.5,2,5/25/21,71.1,5.078571429,14.77864286,37.12328571,-/-,yes,4.5,n
1447,GDF-M8,4,272.5,240.3,1,6/1/21,32.2,4.6,13.386,50.50928571,-/-,yes,11.5,n
1499,GDF-M9,2,275.4,221.8,2,6/1/21,53.6,3.828571429,11.14114286,30.264,+/+,yes,-5.5,n
1500,GDF-M10,2,282.3,230.6,2,6/1/21,51.7,3.692857143,10.74621429,29.78592857,-/-,yes,-5.5,n
1447,GDF-M8,5,240.3,184.2,1,6/8/21,56.1,8.014285714,23.32157143,73.83085714,-/-,yes,18.5,n
1499,GDF-M9,3,221.8,165.1,1,6/8/21,56.7,8.1,23.571,53.835,+/+,yes,2.5,n
1500,GDF-M10,3,230.6,199.2,1,6/8/21,31.4,4.485714286,13.05342857,42.83935714,-/-,yes,2.5,n
1447,GDF-M8,6,317.5,239.6,1,6/15/21,77.9,11.12857143,32.38414286,106.215,-/-,yes,25.5,y
1499,GDF-M9,4,326.6,270.4,1,6/15/21,56.2,8.028571429,23.36314286,77.19814286,+/+,yes,9.5,n
1500,GDF-M10,4,304.8,260.6,1,6/15/21,44.2,6.314285714,18.37457143,61.21392857,-/-,yes,9.5,n
1447,GDF-M8,7,313,233.1,1,6/22/21,79.9,11.41428571,33.21557143,139.4305714,-/-,yes,32.5,y
1499,GDF-M9,5,270.4,209.7,1,6/22/21,60.7,8.671428571,25.23385714,102.432,+/+,yes,16.5,n
1500,GDF-M10,5,316.7,267.1,1,6/22/21,49.6,7.085714286,20.61942857,81.83335714,-/-,yes,16.5,n
1499,GDF-M9,6,333.2,215.8,1,6/29/21,117.4,16.77142857,48.80485714,151.2368571,+/+,yes,23.5,y
1500,GDF-M10,6,343.9,261,1,6/29/21,82.9,11.84285714,34.46271429,116.2960714,-/-,yes,23.5,y
1499,GDF-M9,7,215.8,152,1,7/6/21,63.8,9.114285714,26.52257143,177.7594286,+/+,yes,30.5,y
1831,GDF-M11,2,301.1,211.7,2,8/3/21,89.4,6.385714286,18.58242857,34.25485714,+/+,yes,-4.5,n
1831,GDF-M11,3,331.3,285.5,1,8/10/21,45.8,6.542857143,19.03971429,53.29457143,+/+,yes,3.5,n
1833,GDF-M13,3,346,273.8,2,8/10/21,72.2,5.157142857,15.00728571,40.90628571,+/+,yes,-4.5,n
1831,GDF-M11,4,285.5,241,1,8/17/21,44.5,6.357142857,18.49928571,71.79385714,+/+,yes,10.5,n
1833,GDF-M13,4,273.8,234,1,8/17/21,39.8,5.685714286,16.54542857,57.45171429,+/+,yes,3.5,n
1831,GDF-M11,5,317.5,278.2,1,8/24/21,39.3,5.614285714,16.33757143,88.13142857,+/+,yes,17.5,n
1833,GDF-M13,5,316.2,267.1,1,8/24/21,49.1,7.014285714,20.41157143,77.86328571,+/+,yes,10.5,n
1831,GDF-M11,6,278.2,149.6,1,8/31/21,128.6,18.37142857,53.46085714,141.5922857,+/+,yes,24.5,y
1833,GDF-M13,6,267.1,208,1,8/31/21,59.1,8.442857143,24.56871429,102.432,+/+,yes,17.5,n
1833,GDF-M13,7,334.8,256.3,1,9/7/21,78.5,11.21428571,32.63357143,135.0655714,+/+,yes,24.5,y
1833,GDF-M13,8,256.3,212.9,1,9/14/21,43.4,6.2,18.042,153.1075714,+/+,yes,31.5,y
2211,GDF-M14,2,272.5,169.5,2,10/1/21,103,7.357142857,21.40928571,37.91314286,-/-,yes,-4.5,n
2211,GDF-M14,3,399,295,2,10/8/21,104,7.428571429,21.61714286,59.53028571,-/-,yes,3.5,n
2211,GDF-M14,4,295,249.3,1,10/16/21,45.7,6.528571429,18.99814286,78.52842857,-/-,yes,11.5,n
2211,GDF-M14,5,249.3,226.6,1,10/22/21,22.7,3.242857143,9.436714286,87.96514286,-/-,yes,17.5,n
2086,GDF-M16,5,387.3,333.9,2,10/22/21,53.4,3.814285714,11.09957143,84.45235714,+/+,yes,-4.5,n
2086,GDF-M16,6,333.9,305.8,1,10/29/21,28.1,4.014285714,11.68157143,96.13392857,+/+,yes,3.5,n
2086,GDF-M16,7,305.8,274.2,1,11/5/21,31.6,4.514285714,13.13657143,109.2705,+/+,yes,10.5,n
2210,GDF-M15,8,303.3,251.5,2,11/12/21,51.8,3.7,10.767,127.9984286,+/+,yes,-1.5,n
2086,GDF-M16,8,274.2,242.3,1,11/12/21,31.9,4.557142857,13.26128571,122.5317857,+/+,yes,17.5,n
2210,GDF-M15,9,325.7,290.8,1,11/19/21,34.9,4.985714286,14.50842857,142.5068571,+/+,yes,6.5,n
2086,GDF-M16,9,353,297.9,1,11/19/21,55.1,7.871428571,22.90585714,145.4376429,+/+,yes,24.5,y
2086,GDF-M16,10,297.9,276.1,1,11/27/21,21.8,3.114285714,9.062571429,154.5002143,+/+,yes,32.5,y
2210,GDF-M15,11,290.8,263.1,1,12/3/21,27.7,3.957142857,11.51528571,NA,+/+,yes,21.5,y
2210,GDF-M15,12,263.1,200.3,1,12/10/21,62.8,8.971428571,26.10685714,NA,+/+,yes,29.5,y
2210,GDF-M15,13,321.6,251.7,1,12/17/21,69.9,9.985714286,29.05842857,NA,+/+,yes,36.5,y
2210,GDF-M15,14,336.8,306.8,1,12/20/21,30,4.285714286,12.47142857,NA,+/+,yes,39.5,y
