"","age","animal.id","MouseID","Sex","Genotype","values","assay","experiment.date","gram.values","gest.age","postnatal"
"1",52,24611,"100553","F","-/-",18600,"Body Weight",2020-03-16,18.6,0.5,"n"
"2",59,24611,"100553","F","-/-",19600,"Body Weight",2020-03-23,19.6,7.5,"n"
"3",66,24611,"100553","F","-/-",25600,"Body Weight",2020-03-30,25.6,14.5,"n"
"4",73,24611,"100553","F","-/-",25000,"Body Weight",2020-04-06,25,21.5,"y"
"5",57,25897,"1210","F","-/-",17400,"Body Weight",2020-11-19,17.4,-3.5,"n"
"6",63,25897,"1210","F","-/-",18300,"Body Weight",2020-11-25,18.3,2.5,"n"
"7",70,25897,"1210","F","-/-",19700,"Body Weight",2020-12-02,19.7,9.5,"n"
"8",77,25897,"1210","F","-/-",26700,"Body Weight",2020-12-09,26.7,16.5,"n"
"9",82,25897,"1210","F","-/-",24000,"Body Weight",2020-12-14,24,21.5,"y"
"10",84,25897,"1210","F","-/-",24100,"Body Weight",2020-12-16,24.1,23.5,"y"
"11",91,25897,"1210","F","-/-",26800,"Body Weight",2020-12-23,26.8,30.5,"y"
"12",98,25897,"1210","F","-/-",27700,"Body Weight",2020-12-30,27.7,37.5,"y"
"13",54,25900,"1213","F","+/+",17100,"Body Weight",2020-11-19,17.1,-4.5,"n"
"14",60,25900,"1213","F","+/+",18100,"Body Weight",2020-11-25,18.1,2.5,"n"
"15",67,25900,"1213","F","+/+",20900,"Body Weight",2020-12-02,20.9,9.5,"n"
"16",74,25900,"1213","F","+/+",26800,"Body Weight",2020-12-09,26.8,16.5,"n"
"17",79,25900,"1213","F","+/+",24000,"Body Weight",2020-12-14,24,21.5,"n"
"18",81,25900,"1213","F","+/+",23900,"Body Weight",2020-12-16,23.9,23.5,"y"
"19",88,25900,"1213","F","+/+",25100,"Body Weight",2020-12-23,25.1,30.5,"y"
"20",95,25900,"1213","F","+/+",26900,"Body Weight",2020-12-30,26.9,37.5,"y"
"21",85,26277,"985","F","-/-",20400,"Body Weight",2021-03-08,20.4,-3.5,"n"
"22",85,26277,"985","F","-/-",20400,"Body Weight",2021-03-08,20.4,-1.5,"n"
"23",93,26277,"985","F","-/-",20400,"Body Weight",2021-03-16,20.4,5.5,"n"
"24",93,26277,"985","F","-/-",20400,"Body Weight",2021-03-16,20.4,8.5,"n"
"25",100,26277,"985","F","-/-",24900,"Body Weight",2021-03-23,24.9,12.5,"n"
"26",100,26277,"985","F","-/-",24900,"Body Weight",2021-03-23,24.9,15.5,"n"
