birth.weight,Genotype,MouseID,pup.number,alive.at.birth,sex,survival,culled,day,weight
1.1,-/-,100553,1,yes,female,NA,NA,0.5,1.1
1.2,-/-,100553,2,yes,male,NA,NA,0.5,1.2
1.2,-/-,100553,3,yes,male,NA,NA,0.5,1.2
1,-/-,100553,4,yes,male,NA,NA,0.5,1
0.9,-/-,100553,5,no,male,NA,NA,0.5,0.9
1.11,-/-,1210,1,no,NA,no,no,0.5,1.11
1.1,-/-,1210,2,no,NA,no,no,0.5,1.1
1.37,-/-,1210,3,yes,female,yes,no,3,1.96
1.37,-/-,1210,3,yes,female,yes,no,7,3.94
1.37,-/-,1210,3,yes,female,yes,no,14,6.6
1.37,-/-,1210,3,yes,female,yes,no,0.5,1.37
1.35,-/-,1210,4,yes,male,yes,no,3,1.96
1.35,-/-,1210,4,yes,male,yes,no,7,3.69
1.35,-/-,1210,4,yes,male,yes,no,14,6.4
1.35,-/-,1210,4,yes,male,yes,no,0.5,1.35
1.24,-/-,1210,5,yes,male,yes,no,3,1.79
1.24,-/-,1210,5,yes,male,yes,no,7,3.55
1.24,-/-,1210,5,yes,male,yes,no,14,6.4
1.24,-/-,1210,5,yes,male,yes,no,0.5,1.24
1.27,-/-,1210,6,yes,male,yes,no,3,1.68
1.27,-/-,1210,6,yes,male,yes,no,7,4.02
1.27,-/-,1210,6,yes,male,yes,no,14,7.2
1.27,-/-,1210,6,yes,male,yes,no,0.5,1.27
1.32,+/+,1213,1,yes,male,yes,no,3,2.01
1.32,+/+,1213,1,yes,male,yes,no,7,4.39
1.32,+/+,1213,1,yes,male,yes,no,14,7.6
1.32,+/+,1213,1,yes,male,yes,no,0.5,1.32
1.3,+/+,1213,2,yes,female,yes,no,3,1.93
1.3,+/+,1213,2,yes,female,yes,no,7,4.19
1.3,+/+,1213,2,yes,female,yes,no,14,7.5
1.3,+/+,1213,2,yes,female,yes,no,0.5,1.3
1.37,+/+,1213,3,yes,male,yes,yes,3,1.97
1.37,+/+,1213,3,yes,male,yes,yes,0.5,1.37
1.28,+/+,1213,4,yes,male,yes,no,3,1.92
1.28,+/+,1213,4,yes,male,yes,no,7,4.42
1.28,+/+,1213,4,yes,male,yes,no,14,7.5
1.28,+/+,1213,4,yes,male,yes,no,0.5,1.28
1.38,+/+,1213,5,yes,male,yes,yes,3,2.12
1.38,+/+,1213,5,yes,male,yes,yes,0.5,1.38
1.06,+/+,1213,6,yes,NA,no,no,0.5,1.06
1.21,-/-,996,1,yes,female,yes,no,3,1.8
1.21,-/-,996,1,yes,female,yes,no,7,3.88
