sex,ID,cage,treatment,cohort,week,Body Weight,Total Fat Mass,Lean Mass,Free Water,"NA"
female,8590,2009,AL,1,1,11.35,0.995,9.06,0,NA
female,8590,2009,AL,1,8,20.4,1.38,17.22,0.17,NA
female,8590,2009,AL,1,20,36.5,14.98,19.42,NA,NA
female,8591,2009,AL,1,1,10.9,0.8,8.5,0.005,NA
female,8591,2009,AL,1,8,20.1,1.72,16.7,0.31,NA
female,8591,2009,AL,1,20,37.6,15.28,20.36,NA,NA
male,8588,2008,AL,1,1,10.95,0.72,9.045,0.305,NA
male,8588,2008,AL,1,8,26.1,1.21,23.41,0.22,NA
male,8588,2008,AL,1,20,42.1,14.15,25.04,NA,NA
male,8589,2008,AL,1,1,12.05,0.8599999999999999,9.805,0.08,NA
male,8589,2008,AL,1,8,25.6,1.09,22.89,0.17,NA
male,8589,2008,AL,1,20,44.8,16.03,26.22,NA,NA
female,8676,2014,eTRF,1,1,12.2,1.1233333333333333,10.403333333333334,0.36,NA
female,8676,2014,eTRF,1,8,23.1,3.76,17.26,0.14,NA
female,8676,2014,eTRF,1,20,33.9,12.6,20.21,NA,NA
male,8674,2015,eTRF,1,1,15.433333333333334,1.4,13.013333333333334,0.30333333333333334,NA
male,8674,2015,eTRF,1,8,31.7,5.84,23.66,0.17,NA
male,8674,2015,eTRF,1,20,51.5,NA,30.57,NA,NA
male,8673,2015,eTRF,1,1,15.633333333333333,1.2466666666666666,13.309999999999999,0.36,NA
male,8673,2015,eTRF,1,8,30.6,3.65,24.88,0.17,NA
male,8673,2015,eTRF,1,20,49.1,19.17,29.3,NA,NA
female,8675,2014,eTRF,1,1,13.200000000000001,1.43,10.95,0.23333333333333334,NA
female,8675,2014,eTRF,1,8,23.2,4.08,17.33,0.38,NA
female,8675,2014,eTRF,1,20,36.3,14.87,19.94,NA,NA
female,8602,2009,AL,1,1,13.233333333333334,1.3733333333333333,10.84,0.36000000000000004,NA
female,8602,2009,AL,1,8,21.6,2.01,17.7,0.19,NA
female,8602,2009,AL,1,20,41.2,17.34,21.73,NA,NA
female,8603,2009,AL,1,1,13.6,1.42,11.306666666666667,0.19333333333333333,NA
female,8603,2009,AL,1,8,21.6,2.32,17.64,0.17,NA
female,8603,2009,AL,1,20,38.9,15.87,21.46,NA,NA
male,8601,2008,AL,1,1,13.833333333333334,1.1233333333333333,11.513333333333334,0.32666666666666666,NA
male,8601,2008,AL,1,8,29.2,1.2,26.13,0.56,NA
male,8601,2008,AL,1,20,48.9,16.37,30.88,NA,NA
male,8596,2010,eTRF,1,1,10.399999999999999,0.7649999999999999,8.57,0,NA
male,8596,2010,eTRF,1,8,24.9,1.4,21.97,0.2,NA
male,8596,2010,eTRF,1,20,41.4,14.21,24.64,NA,NA
male,8597,2010,eTRF,1,1,9.05,0.61,7.215,0.04,NA
male,8597,2010,eTRF,1,8,25.9,1.74,22.75,0,NA
male,8597,2010,eTRF,1,20,46,16.87,27.07,NA,NA
