cage,# in cage,week,IDs,start,end,date,notes,diet,cohort,food.consumed,kcals.consumed,food.cumulative,treatment,sex
2008,3,9,"8601, 8588, 8589",301.2,73.1,7/22-7/29,chewer,HFD,1,10.861904761904762,51.376809523809534,183.850380952381,AL,male
2008,3,4,"8601, 8588, 8589",391.6,289.2,6/17-6/24,NA,NCD,1,4.876190476190478,14.189714285714293,47.807142857142864,AL,male
2008,3,2,"8601, 8588, 8589",367.5,270.2,6/2-6/10,NA,NCD,1,4.633333333333334,13.483000000000002,20.037428571428574,AL,male
2008,3,11,"8601, 8588, 8589",281.4,101.6,8/5-8/12,chewer,HFD,1,8.561904761904762,40.49780952380953,280.38742857142864,AL,male
2008,3,8,"8601, 8588, 8589",272.1,167.7,7/15-7/22,chewer,HFD,1,4.971428571428573,23.514857142857153,132.47357142857146,AL,male
2008,3,7,"8601, 8588, 8589",370.2,235.9,7/8-7-15,NA,NCD,1,6.395238095238094,18.610142857142854,108.9587142857143,AL,male
2008,3,12,"8601, 8588, 8589",270.7,163.9,8/12-8/19,chewer,HFD,1,5.0857142857142845,24.055428571428568,304.4428571428572,AL,male
2008,3,23,"8601, 8588, 8589",276.8,265.5,10/28-10/30,NA,HFD,1,0.5380952380952386,2.545190476190479,464.99257142857147,AL,male
2008,3,15,"8601, 8588, 8589",342,294.6,9/3-9/9,NA,HFD,1,2.257142857142856,10.676285714285708,367.374380952381,AL,male
2008,3,14,"8601, 8588, 8589",296,193.3,8/26-9/3,NA,HFD,1,4.89047619047619,23.13195238095238,356.6980952380953,AL,male
2008,3,21,"8601, 8588, 8589",303.4,242.9,10/14-10/21,NA,HFD,1,2.8809523809523796,13.626904761904756,449.51871428571434,AL,male
2008,3,10,"8601, 8588, 8589",344.5,95.7,7/29-8/5,chewer,HFD,1,11.847619047619048,56.039238095238105,239.88961904761908,AL,male
2008,3,6,"8601, 8588, 8589",357.2,167,7/1-7/8,chewer,NCD,1,9.057142857142857,26.356285714285715,90.34857142857145,AL,male
2008,3,3,"8601, 8588, 8589",270.2,172.2,6/10-6/17,NA,NCD,1,4.666666666666666,13.579999999999998,33.617428571428576,AL,male
2008,3,19,"8601, 8588, 8589",287.4,224.9,9/30-10/7,NA,HFD,1,2.976190476190475,14.077380952380947,423.30100000000004,AL,male
2008,3,13,"8601, 8588, 8589",263.5,134.2,8/19-8/26,chewer,HFD,1,6.1571428571428575,29.123285714285718,333.5661428571429,AL,male
2008,3,16,"8601, 8588, 8589",294.6,229.2,9/9-9/16,NA,HFD,1,3.114285714285716,14.730571428571439,382.10495238095245,AL,male
2008,3,17,"8601, 8588, 8589",300.9,236.5,9/16-9/23,NA,HFD,1,3.0666666666666655,14.50533333333333,396.61028571428574,AL,male
2008,3,5,"8601, 8588, 8589",380.5,263.7,6/24-7/1,NA,NCD,1,5.561904761904763,16.18514285714286,63.99228571428573,AL,male
2008,3,1,"8601, 8588, 8589",275.8,228.5,5/26-6/2,NA,NCD,1,2.252380952380953,6.554428571428573,6.554428571428573,AL,male
2008,3,20,"8601, 8588, 8589",292,236.1,10/7-10/14,NA,HFD,1,2.661904761904762,12.590809523809526,435.89180952380957,AL,male
2008,3,22,"8601, 8588, 8589",242.9,185.5,10/21-10/28,NA,HFD,1,2.733333333333334,12.92866666666667,462.44738095238097,AL,male
2008,3,18,"8601, 8588, 8589",316.6,260.6,9/23-9/30,NA,HFD,1,2.666666666666667,12.613333333333335,409.2236190476191,AL,male
2009,4,11,"8591, 8603, 8590, 8602",234.7,37.5,8/5-8/12,chewer,HFD,1,7.042857142857143,33.312714285714286,224.48264285714288,AL,female
2009,4,4,"8591, 8603, 8590, 8602",363.5,244.4,6/17-6/24,NA,NCD,1,4.253571428571428,12.377892857142857,30.814821428571438,AL,female
2009,4,23,"8591, 8603, 8590, 8602",272.9,260.2,10/28-10/30,NA,HFD,1,0.4535714285714282,2.1453928571428555,449.5461785714286,AL,female
2009,4,3,"8591, 8603, 8590, 8602",231.7,227.1,6/10-6/17,NA,NCD,1,0.1642857142857141,0.47807142857142804,18.43692857142858,AL,female
2009,4,14,"8591, 8603, 8590, 8602",288.6,104.9,8/26-9/3,chewer,HFD,1,6.560714285714286,31.032178571428574,322.79907142857144,AL,female
2009,4,10,"8591, 8603, 8590, 8602",373.6,117.6,7/29-8/5,chewer,HFD,1,9.142857142857142,43.245714285714286,191.16992857142858,AL,female
2009,4,9,"8591, 8603, 8590, 8602",304.4,54,7/22-7/29,chewer,HFD,1,8.942857142857141,42.29971428571428,147.9242142857143,AL,female
2009,4,13,"8591, 8603, 8590, 8602",284.2,72.2,8/19-8/26,chewer,HFD,1,7.571428571428571,35.81285714285715,291.76689285714286,AL,female
2009,4,20,"8591, 8603, 8590, 8602",307,240.1,10/7-10/14,NA,HFD,1,2.3892857142857147,11.301321428571432,424.1224285714286,AL,female
2009,4,2,"8591, 8603, 8590, 8602",352.1,231.7,6/2-6/10,NA,NCD,1,4.300000000000002,12.513000000000005,17.958857142857152,AL,female
2009,4,8,"8591, 8603, 8590, 8602",249.7,90.9,7/15-7/22,chewer,HFD,1,5.671428571428571,26.825857142857142,105.62450000000001,AL,female
2009,4,7,"8591, 8603, 8590, 8602",396.3,226.5,7/8-7-15,NA,NCD,1,6.064285714285715,17.647071428571433,78.79864285714287,AL,female
2009,4,5,"8591, 8603, 8590, 8602",351.8,225.1,6/24-7/1,NA,NCD,1,4.525,13.167750000000002,43.98257142857144,AL,female
2009,4,17,"8591, 8603, 8590, 8602",314.7,222.7,9/16-9/23,NA,HFD,1,3.2857142857142856,15.541428571428572,381.33282142857144,AL,female
2009,4,15,"8591, 8603, 8590, 8602",332.4,177.9,9/3-9/9,chewer,HFD,1,5.5178571428571415,26.09946428571428,348.89853571428574,AL,female
2009,4,12,"8591, 8603, 8590, 8602",275,88.7,8/12-8/19,chewer,HFD,1,6.653571428571429,31.471392857142863,255.95403571428574,AL,female
2009,4,16,"8591, 8603, 8590, 8602",349.9,249.9,9/9-9/16,chewer,HFD,1,3.5714285714285703,16.89285714285714,365.79139285714285,AL,female
2009,4,6,"8591, 8603, 8590, 8602",343,177.8,7/1-7/8,chewer,NCD,1,5.8999999999999995,17.169,61.15157142857144,AL,female
2009,4,1,"8591, 8603, 8590, 8602",286.1,233.7,5/26-6/2,NA,NCD,1,1.8714285714285726,5.445857142857147,5.445857142857147,AL,female
2009,4,22,"8591, 8603, 8590, 8602",281.2,217.9,10/21-10/28,NA,HFD,1,2.2607142857142852,10.69317857142857,447.40078571428575,AL,female
2009,4,18,"8591, 8603, 8590, 8602",314.9,212.9,9/23-9/30,NA,HFD,1,3.642857142857142,17.23071428571428,398.5635357142857,AL,female
2009,4,19,"8591, 8603, 8590, 8602",287.3,202.9,9/30-10/7,NA,HFD,1,3.0142857142857147,14.257571428571431,412.82110714285716,AL,female
2009,4,21,"8591, 8603, 8590, 8602",316.4,241.9,10/14-10/21,NA,HFD,1,2.6607142857142847,12.585178571428568,436.70760714285717,AL,female
2010,4,11,"8592, 8596, 8593, 8597",298.1,173,8/5-8/12,chewer,HFD,1,4.467857142857143,21.13296428571429,241.1602142857143,eTRF,male
2010,4,3,"8592, 8596, 8593, 8597",399.5,278.9,6/10-6/17,NA,NCD,1,4.307142857142858,12.533785714285717,32.34257142857143,eTRF,male
2010,4,14,"8592, 8596, 8593, 8597",302.7,131.8,8/26-9/3,chewer,HFD,1,6.103571428571428,28.869892857142855,313.07310714285717,eTRF,male
2010,4,20,"8592, 8596, 8593, 8597",313.6,237.6,10/7-10/14,NA,HFD,1,2.7142857142857153,12.838571428571434,385.2225,eTRF,male
2010,4,9,"8592, 8596, 8593, 8597",300,67,7/22-7/29,chewer,HFD,1,8.321428571428571,39.36035714285715,180.4135,eTRF,male
2010,4,5,"8592, 8596, 8593, 8597",352,205.3,6/24-7/1,NA,NCD,1,5.239285714285714,15.246321428571427,61.43217857142857,eTRF,male
2010,4,4,"8592, 8596, 8593, 8597",388.5,255.3,6/17-6/24,NA,NCD,1,4.757142857142857,13.843285714285715,46.185857142857145,eTRF,male
2010,4,23,"8592, 8596, 8593, 8597",296.2,284.9,10/28-10/30,NA,HFD,1,0.40357142857142897,1.9088928571428592,412.42,eTRF,male
2010,4,8,"8592, 8596, 8593, 8597",291.4,88,7/15-7/22,chewer,HFD,1,7.264285714285713,34.36007142857143,141.05314285714286,eTRF,male
2010,4,21,"8592, 8596, 8593, 8597",312.9,238.6,10/14-10/21,NA,HFD,1,2.653571428571428,12.551392857142856,397.77389285714287,eTRF,male
2010,4,10,"8592, 8596, 8593, 8597",333.8,99.3,7/29-8/5,chewer,HFD,1,8.375,39.61375,220.02725,eTRF,male
2010,4,17,"8592, 8596, 8593, 8597",330.2,254.3,9/16-9/23,NA,HFD,1,2.710714285714285,12.821678571428569,349.49410714285716,eTRF,male
2010,4,13,"8592, 8596, 8593, 8597",267.1,144.6,8/19-8/26,NA,HFD,1,4.375000000000001,20.693750000000005,284.2032142857143,eTRF,male
2010,4,1,"8592, 8596, 8593, 8597",364,306,5/27-6/2,NA,NCD,1,2.0714285714285716,6.027857142857144,6.027857142857144,eTRF,male
2010,4,16,"8592, 8596, 8593, 8597",341.1,266.4,9/9-9/16,NA,HFD,1,2.6678571428571445,12.618964285714295,336.6724285714286,eTRF,male
2010,4,15,"8592, 8596, 8593, 8597",335.4,270.4,9/3-9/9,NA,HFD,1,2.3214285714285716,10.980357142857144,324.0534642857143,eTRF,male
2010,4,19,"8592, 8596, 8593, 8597",272,205.9,9/30-10/7,NA,HFD,1,2.3607142857142853,11.16617857142857,372.3839285714286,eTRF,male
2010,4,22,"8592, 8596, 8593, 8597",298.8,223.4,10/21-10/28,NA,HFD,1,2.692857142857143,12.737214285714288,410.51110714285716,eTRF,male
2010,4,2,"8592, 8596, 8593, 8597",306,173.4,6/2-6/10,NA,NCD,1,4.735714285714286,13.780928571428571,19.808785714285715,eTRF,male
2010,4,6,"8592, 8596, 8593, 8597",352.7,121.5,7/1-7/8,chewer,NCD,1,8.257142857142856,24.028285714285712,85.46046428571428,eTRF,male
2010,4,7,"8592, 8596, 8593, 8597",352.4,148.1,7/8-7-15,NA,NCD,1,7.296428571428571,21.23260714285714,106.69307142857143,eTRF,male
2010,4,12,"8592, 8596, 8593, 8597",271.8,139.5,8/12-8/19,chewer,HFD,1,4.7250000000000005,22.349250000000005,263.50946428571433,eTRF,male
