ID,time,glucose,cage,dam,sex,treatment,cohort
458,0,193,FA-1,128,female,AL,2
458,15,437,FA-1,128,female,AL,2
458,30,346,FA-1,128,female,AL,2
458,45,237,FA-1,128,female,AL,2
458,60,229,FA-1,128,female,AL,2
458,75,191,FA-1,128,female,AL,2
458,90,212,FA-1,128,female,AL,2
458,105,230,FA-1,128,female,AL,2
458,120,215,FA-1,128,female,AL,2
459,0,146,FA-1,128,female,AL,2
459,15,400,FA-1,128,female,AL,2
459,30,271,FA-1,128,female,AL,2
459,45,198,FA-1,128,female,AL,2
459,60,199,FA-1,128,female,AL,2
459,75,192,FA-1,128,female,AL,2
459,90,196,FA-1,128,female,AL,2
459,105,185,FA-1,128,female,AL,2
459,120,186,FA-1,128,female,AL,2
462,0,156,FA-1,146,female,AL,2
462,15,377,FA-1,146,female,AL,2
462,30,225,FA-1,146,female,AL,2
462,45,186,FA-1,146,female,AL,2
462,60,173,FA-1,146,female,AL,2
462,75,169,FA-1,146,female,AL,2
462,90,184,FA-1,146,female,AL,2
462,105,140,FA-1,146,female,AL,2
462,120,168,FA-1,146,female,AL,2
454,0,161,FE-1,134,female,eTRF,2
454,15,348,FE-1,134,female,eTRF,2
454,30,218,FE-1,134,female,eTRF,2
454,45,203,FE-1,134,female,eTRF,2
454,60,188,FE-1,134,female,eTRF,2
454,75,201,FE-1,134,female,eTRF,2
454,90,191,FE-1,134,female,eTRF,2
454,105,194,FE-1,134,female,eTRF,2
454,120,163,FE-1,134,female,eTRF,2
455,0,209,FE-1,134,female,eTRF,2
455,15,427,FE-1,134,female,eTRF,2
455,30,262,FE-1,134,female,eTRF,2
455,45,240,FE-1,134,female,eTRF,2
455,60,206,FE-1,134,female,eTRF,2
455,75,200,FE-1,134,female,eTRF,2
455,90,178,FE-1,134,female,eTRF,2
455,105,155,FE-1,134,female,eTRF,2
455,120,149,FE-1,134,female,eTRF,2
466,0,134,FE-1,124,female,eTRF,2
466,15,364,FE-1,124,female,eTRF,2
466,30,429,FE-1,124,female,eTRF,2
