ID,cage,time,glucose,treatment,sex,cohort,dam,rel.glucose
8588,2008,0,147,AL,male,1,7829,100
8588,2008,15,126,AL,male,1,7829,85.71428571428571
8588,2008,30,112,AL,male,1,7829,76.19047619047619
8588,2008,45,79,AL,male,1,7829,53.74149659863946
8588,2008,60,91,AL,male,1,7829,61.904761904761905
8588,2008,75,91,AL,male,1,7829,61.904761904761905
8588,2008,90,86,AL,male,1,7829,58.50340136054422
8588,2008,105,98,AL,male,1,7829,66.66666666666666
8588,2008,120,104,AL,male,1,7829,70.74829931972789
8589,2008,0,164,AL,male,1,7829,100
8589,2008,15,78,AL,male,1,7829,47.5609756097561
8589,2008,30,71,AL,male,1,7829,43.292682926829265
8589,2008,45,62,AL,male,1,7829,37.80487804878049
8589,2008,60,77,AL,male,1,7829,46.95121951219512
8589,2008,75,85,AL,male,1,7829,51.829268292682926
8589,2008,90,84,AL,male,1,7829,51.21951219512195
8589,2008,105,110,AL,male,1,7829,67.07317073170732
8589,2008,120,105,AL,male,1,7829,64.02439024390245
8601,2008,0,178,AL,male,1,7827,100
8601,2008,15,184,AL,male,1,7827,103.37078651685394
8601,2008,30,125,AL,male,1,7827,70.2247191011236
8601,2008,45,105,AL,male,1,7827,58.98876404494382
8601,2008,60,82,AL,male,1,7827,46.06741573033708
8601,2008,75,89,AL,male,1,7827,50
8601,2008,90,87,AL,male,1,7827,48.87640449438202
8601,2008,105,73,AL,male,1,7827,41.01123595505618
8601,2008,120,94,AL,male,1,7827,52.80898876404494
8603,2009,0,147,AL,female,1,7827,100
8603,2009,15,132,AL,female,1,7827,89.79591836734694
8603,2009,30,57,AL,female,1,7827,38.775510204081634
8603,2009,45,54,AL,female,1,7827,36.734693877551024
8603,2009,60,71,AL,female,1,7827,48.29931972789115
8603,2009,75,94,AL,female,1,7827,63.94557823129252
8603,2009,90,97,AL,female,1,7827,65.98639455782312
8603,2009,105,94,AL,female,1,7827,63.94557823129252
8603,2009,120,106,AL,female,1,7827,72.10884353741497
8602,2009,0,157,AL,female,1,7827,100
8602,2009,15,99,AL,female,1,7827,63.05732484076433
8602,2009,30,58,AL,female,1,7827,36.94267515923567
8602,2009,45,NA,AL,female,1,7827,NA
8602,2009,60,NA,AL,female,1,7827,NA
8602,2009,75,NA,AL,female,1,7827,NA
8602,2009,90,NA,AL,female,1,7827,NA
8602,2009,105,NA,AL,female,1,7827,NA
8602,2009,120,NA,AL,female,1,7827,NA
8590,2009,0,127,AL,female,1,7829,100
8590,2009,15,98,AL,female,1,7829,77.16535433070865
8590,2009,30,36,AL,female,1,7829,28.346456692913385
8590,2009,45,NA,AL,female,1,7829,NA
8590,2009,60,NA,AL,female,1,7829,NA
8590,2009,75,NA,AL,female,1,7829,NA
8590,2009,90,NA,AL,female,1,7829,NA
8590,2009,105,NA,AL,female,1,7829,NA
8590,2009,120,NA,AL,female,1,7829,NA
8591,2009,0,155,AL,female,1,7829,100
8591,2009,15,105,AL,female,1,7829,67.74193548387096
8591,2009,30,62,AL,female,1,7829,40
8591,2009,45,56,AL,female,1,7829,36.12903225806451
8591,2009,60,87,AL,female,1,7829,56.12903225806451
8591,2009,75,87,AL,female,1,7829,56.12903225806451
8591,2009,90,80,AL,female,1,7829,51.61290322580645
8591,2009,105,81,AL,female,1,7829,52.25806451612903
8591,2009,120,96,AL,female,1,7829,61.935483870967744
8593,2010,0,238,eTRF,male,1,7864,100
8593,2010,15,138,eTRF,male,1,7864,57.98319327731093
8593,2010,30,125,eTRF,male,1,7864,52.52100840336135
8593,2010,45,101,eTRF,male,1,7864,42.436974789915965
8593,2010,60,95,eTRF,male,1,7864,39.91596638655462
8593,2010,75,91,eTRF,male,1,7864,38.23529411764706
8593,2010,90,89,eTRF,male,1,7864,37.39495798319328
8593,2010,105,95,eTRF,male,1,7864,39.91596638655462
8593,2010,120,102,eTRF,male,1,7864,42.857142857142854
8597,2010,0,175,eTRF,male,1,7826,100
8597,2010,15,134,eTRF,male,1,7826,76.57142857142857
8597,2010,30,111,eTRF,male,1,7826,63.42857142857142
8597,2010,45,121,eTRF,male,1,7826,69.14285714285714
8597,2010,60,106,eTRF,male,1,7826,60.57142857142858
8597,2010,75,92,eTRF,male,1,7826,52.57142857142857
8597,2010,90,103,eTRF,male,1,7826,58.857142857142854
8597,2010,105,104,eTRF,male,1,7826,59.42857142857143
8597,2010,120,107,eTRF,male,1,7826,61.142857142857146
8592,2010,0,197,eTRF,male,1,7864,100
8592,2010,15,77,eTRF,male,1,7864,39.08629441624365
8592,2010,30,77,eTRF,male,1,7864,39.08629441624365
8592,2010,45,89,eTRF,male,1,7864,45.17766497461929
8592,2010,60,76,eTRF,male,1,7864,38.578680203045685
8592,2010,75,82,eTRF,male,1,7864,41.62436548223351
8592,2010,90,81,eTRF,male,1,7864,41.11675126903553
8592,2010,105,93,eTRF,male,1,7864,47.20812182741117
8592,2010,120,99,eTRF,male,1,7864,50.25380710659898
8596,2010,0,278,eTRF,male,1,7826,100
8596,2010,15,108,eTRF,male,1,7826,38.84892086330935
8596,2010,30,106,eTRF,male,1,7826,38.1294964028777
8596,2010,45,95,eTRF,male,1,7826,34.172661870503596
8596,2010,60,108,eTRF,male,1,7826,38.84892086330935
8596,2010,75,97,eTRF,male,1,7826,34.89208633093525
8596,2010,90,96,eTRF,male,1,7826,34.53237410071942
8596,2010,105,104,eTRF,male,1,7826,37.410071942446045
8596,2010,120,111,eTRF,male,1,7826,39.92805755395683
8598,2011,0,265,eTRF,female,1,7826,100
8598,2011,15,98,eTRF,female,1,7826,36.9811320754717
8598,2011,30,114,eTRF,female,1,7826,43.0188679245283
8598,2011,45,85,eTRF,female,1,7826,32.075471698113205
8598,2011,60,73,eTRF,female,1,7826,27.547169811320753
8598,2011,75,92,eTRF,female,1,7826,34.71698113207547
8598,2011,90,109,eTRF,female,1,7826,41.132075471698116
8598,2011,105,103,eTRF,female,1,7826,38.86792452830189
8598,2011,120,103,eTRF,female,1,7826,38.86792452830189
8599,2011,0,135,eTRF,female,1,7826,100
8599,2011,15,109,eTRF,female,1,7826,80.74074074074075
8599,2011,30,104,eTRF,female,1,7826,77.03703703703704
8599,2011,45,75,eTRF,female,1,7826,55.55555555555556
