Sample,Well,Raw,"Background
Corrected",Conc.,plate
Control,H4,0.143,0.084,14.74,old
Unknown1,A1,0.134,0.075,13.64,old
Unknown2,A2,0.15,0.091,15.6,old
Unknown3,A3,0.156,0.097,16.34,old
Unknown4,A4,0.175,0.116,18.67,old
Unknown5,A5,0.136,0.077,13.88,old
Unknown6,A6,0.077,0.018,6.723,old
Unknown7,A7,0.075,0.016,6.482,old
Unknown8,A8,0.119,0.06,11.81,old
Unknown9,A9,0.114,0.055,11.2,old
Unknown10,A10,0.092,0.033,8.534,old
Unknown11,A11,0.077,0.018,6.723,old
Unknown12,A12,0.087,0.028,7.93,old
Unknown13,B1,0.117,0.058,11.57,old
Unknown14,B2,0.145,0.086,14.99,old
Unknown15,B3,0.146,0.087,15.11,old
Unknown16,B4,0.111,0.052,10.84,old
Unknown17,B5,0.125,0.066,12.54,old
Unknown18,B6,0.136,0.077,13.88,old
Unknown19,B7,0.093,0.034,8.655,old
Unknown20,B8,0.074,0.015,6.362,old
Unknown21,B9,0.052,-0.007,3.72,old
Unknown22,B10,0.143,0.084,14.74,old
Unknown23,B11,0.168,0.109,17.81,old
Unknown24,B12,0.087,0.028,7.93,old
Unknown25,C1,0.112,0.053,10.96,old
Unknown26,C2,0.178,0.119,19.05,old
Unknown27,C3,0.147,0.088,15.23,old
Unknown28,C4,0.15,0.091,15.6,old
Unknown29,C5,0.124,0.065,12.42,old
Unknown30,C6,0.117,0.058,11.57,old
Unknown31,C7,0.105,0.046,10.11,old
Unknown32,C8,0.116,0.057,11.45,old
Unknown33,C9,0.125,0.066,12.54,old
Unknown34,C10,0.173,0.114,18.43,old
Unknown35,C11,0.268,0.209,30.28,old
Unknown36,C12,0.144,0.085,14.86,old
Unknown37,D1,0.172,0.113,18.3,old
Unknown38,D2,0.196,0.137,21.27,old
Unknown39,D3,0.168,0.109,17.81,old
Unknown40,D4,0.176,0.117,18.8,old
Unknown41,D5,0.163,0.104,17.2,old
Unknown42,D6,0.156,0.097,16.34,old
Unknown43,D7,0.153,0.094,15.97,old
Unknown44,D8,0.182,0.123,19.54,old
Unknown45,D9,0.187,0.128,20.16,old
Unknown46,D10,0.142,0.083,14.62,old
Unknown47,D11,0.153,0.094,15.97,old
Unknown48,D12,0.17,0.111,18.06,old
Unknown49,E1,0.157,0.098,16.46,old
Unknown50,E2,0.19,0.131,20.53,old
Unknown51,E3,0.149,0.09,15.48,old
Unknown52,E4,0.174,0.115,18.55,old
Unknown53,E5,0.099,0.04,9.381,old
Unknown54,E6,0.111,0.052,10.84,old
Unknown55,E7,0.16,0.101,16.83,old
Unknown56,E8,0.128,0.069,12.91,old
Unknown57,E9,0.135,0.076,13.76,old
Unknown58,E10,0.132,0.073,13.4,old
Unknown59,E11,0.135,0.076,13.76,old
Unknown60,E12,0.127,0.068,12.79,old
Unknown61,F1,0.115,0.056,11.32,old
Unknown62,F2,0.121,0.062,12.05,old
Unknown63,F3,0.12,0.061,11.93,old
Unknown64,F4,0.116,0.057,11.45,old
Unknown65,F5,0.141,0.082,14.5,old
Unknown66,F6,0.156,0.097,16.34,old
Unknown67,F7,0.109,0.05,10.59,old
Unknown68,F8,0.124,0.065,12.42,old
Unknown69,F9,0.106,0.047,10.23,old
Unknown70,F10,0.132,0.073,13.4,old
Unknown71,F11,0.207,0.148,22.64,old
Unknown72,F12,0.101,0.042,9.624,old
Unknown73,G1,0.11,0.051,10.72,old
Unknown74,G2,0.131,0.072,13.27,old
Unknown75,G3,0.139,0.08,14.25,old
Unknown76,G4,0.137,0.078,14.01,old
Unknown77,G5,0.127,0.068,12.79,old
Unknown78,G6,0.163,0.104,17.2,old
Unknown79,G7,0.159,0.1,16.7,old
Unknown80,G8,0.151,0.092,15.72,old
Unknown81,G9,0.277,0.218,31.42,old
Unknown82,G10,0.139,0.08,14.25,old
Unknown83,G11,0.211,0.152,23.14,old
Unknown84,G12,0.19,0.131,20.53,old
Unknown85,H1,0.186,0.127,20.03,old
Unknown86,H2,0.148,0.089,15.35,old
Unknown87,H3,0.28,0.221,31.8,old
Blank,H12,0.059,0,4.559,old
