ID,age,animal.id,MouseID,Sex,Genotype,values,assay,experiment.date,treatment,dam,cohort,gram.values
452,25,25739,452,M,+/+,11800,Body Weight,2020-09-23,eTRF,134,2,11.8
452,25,25739,452,M,+/+,900,Total Fat Mass,2020-09-23,eTRF,134,2,0.9
452,25,25739,452,M,+/+,9780,Lean Mass,2020-09-23,eTRF,134,2,9.78
452,21,25739,452,M,+/+,10000,Body Weight,2020-09-19,eTRF,134,2,10
452,21,25739,452,M,+/+,1060,Total Fat Mass,2020-09-19,eTRF,134,2,1.06
452,21,25739,452,M,+/+,8010,Lean Mass,2020-09-19,eTRF,134,2,8.01
452,32,25739,452,M,+/+,19900,Body Weight,2020-09-30,eTRF,134,2,19.9
452,32,25739,452,M,+/+,1990,Total Fat Mass,2020-09-30,eTRF,134,2,1.99
452,32,25739,452,M,+/+,16350,Lean Mass,2020-09-30,eTRF,134,2,16.35
452,39,25739,452,M,+/+,23000,Body Weight,2020-10-07,eTRF,134,2,23
452,39,25739,452,M,+/+,1350,Total Fat Mass,2020-10-07,eTRF,134,2,1.35
452,39,25739,452,M,+/+,19650,Lean Mass,2020-10-07,eTRF,134,2,19.65
452,46,25739,452,M,+/+,24200,Body Weight,2020-10-14,eTRF,134,2,24.2
452,46,25739,452,M,+/+,1060,Total Fat Mass,2020-10-14,eTRF,134,2,1.06
452,46,25739,452,M,+/+,20990,Lean Mass,2020-10-14,eTRF,134,2,20.99
452,53,25739,452,M,+/+,25700,Body Weight,2020-10-21,eTRF,134,2,25.7
452,53,25739,452,M,+/+,810,Total Fat Mass,2020-10-21,eTRF,134,2,0.81
452,53,25739,452,M,+/+,23190,Lean Mass,2020-10-21,eTRF,134,2,23.19
452,60,25739,452,M,+/+,27200,Body Weight,2020-10-28,eTRF,134,2,27.2
452,60,25739,452,M,+/+,1200,Total Fat Mass,2020-10-28,eTRF,134,2,1.2
452,60,25739,452,M,+/+,24000,Lean Mass,2020-10-28,eTRF,134,2,24
452,67,25739,452,M,+/+,27700,Body Weight,2020-11-04,eTRF,134,2,27.7
