ID,cohort,treatment,pregnancy,body.weight,date,gest.age,week
118,2,eTRF,1,26.9,2020-08-26,14,5
118,2,eTRF,1,25.4,2020-08-31,19,NA
118,2,eTRF,1,20.9,2020-08-12,0,3
118,2,eTRF,1,21.9,2020-08-19,7,4
118,2,eTRF,1,24.5,2020-09-02,21,5
119,2,eTRF,1,20.2,2020-08-05,-4,2
119,2,eTRF,1,28.1,2020-08-26,17,5
119,2,eTRF,1,22.4,2020-08-19,10,4
119,2,eTRF,1,20.7,2020-08-12,3,3
123,2,AL,1,24.9,2020-08-19,8,4
123,2,AL,1,21.4,2020-08-05,-6,2
123,2,AL,1,33.8,2020-08-26,15,5
123,2,AL,1,22.7,2020-08-12,1,3
123,2,AL,1,25.3,2020-08-30,19,NA
124,2,eTRF,1,25.4,2020-08-25,19,4.86
124,2,eTRF,1,20.4,2020-08-05,-1,2
124,2,eTRF,1,25.4,2020-08-25,19,4.86
124,2,eTRF,1,21.7,2020-08-12,6,3
124,2,eTRF,1,25.2,2020-08-26,20,5
124,2,eTRF,1,26.3,2020-08-19,13,4
128,2,AL,1,29.4,2020-08-19,10,4
128,2,AL,1,25.6,2020-08-12,3,3
128,2,AL,1,22.7,2020-08-05,-4,2
128,2,AL,1,25.6,2020-08-28,19,NA
128,2,AL,1,39.5,2020-08-26,17,5
143,2,AL,1,22.8,2020-08-05,-5,2
143,2,AL,1,38.5,2020-08-26,16,5
143,2,AL,1,26.9,2020-08-28,18,NA
143,2,AL,1,27.9,2020-08-19,9,4
143,2,AL,1,25.2,2020-08-12,2,3
146,2,AL,1,23.2,2020-08-12,5,3
146,2,AL,1,26.7,2020-08-26,19,5
146,2,AL,1,26.7,2020-08-26,19,5
146,2,AL,1,20.5,2020-08-05,-2,2
146,2,AL,1,28.4,2020-08-19,12,4
7822,1,eTRF,2,26.6,2019-05-16,18,NA
7822,1,eTRF,2,26.4,2019-05-08,10,6
7822,1,eTRF,2,37.3,2019-05-15,17,NA
7822,1,eTRF,2,22.4,2019-04-24,-4,4
7822,1,eTRF,2,23.9,2019-05-01,4,5
7822,1,eTRF,2,32.1,2019-05-12,14,NA
7822,1,eTRF,2,24.8,2019-05-03,6,5.3
7826,1,eTRF,1,33,2019-05-03,17,5.3
7826,1,eTRF,1,22.5,2019-04-17,2,3
7826,1,eTRF,1,30.2,2019-05-01,15,5
7826,1,eTRF,1,22.3,2019-04-10,-6,2
7826,1,eTRF,1,28.3,2019-05-06,20,5.71
7826,1,eTRF,1,25,2019-04-24,8,4
7827,1,AL,1,25.5,2019-04-24,7,4
7827,1,AL,1,40.6,2019-05-08,21,6
7827,1,AL,1,29.4,2019-05-03,16,5.3
7827,1,AL,1,28.8,2019-05-01,14,5
7827,1,AL,1,24.1,2019-04-17,1,3
7829,1,AL,1,23.9,2019-04-24,8,4
7829,1,AL,1,25.3,2019-05-05,19,5.6
7829,1,AL,1,22.9,2019-04-17,2,3
7829,1,AL,1,22.4,2019-04-10,-6,2
7829,1,AL,1,26.2,2019-05-01,15,5
7829,1,AL,1,34,2019-05-03,17,5.3
7830,1,AL,1,31.8,2019-05-01,15,5
7830,1,AL,1,25.1,2019-04-24,8,4
7830,1,AL,1,22.7,2019-04-17,2,3
7830,1,AL,1,28,2019-05-03,17,5.3
7830,1,AL,1,22.3,2019-04-10,-6,2
7830,1,AL,1,35.8,2019-05-08,21,6
7833,1,eTRF,1,30.8,2019-05-08,17,6
7833,1,eTRF,1,25.5,2019-05-12,21,NA
7833,1,eTRF,1,21.9,2019-04-24,4,4
7833,1,eTRF,1,26.5,2019-05-03,12,5.3
